Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy
"Philadelphia, PA metro area",November 2016,All Residential,Metro,False,PA,0.956783338,-0.5%,0.8%,1996,-0.2%,25.9%,8948,-5.1%,-16.0%,48,0,-7,$173K,1.5%,13.5%,2087,-20.6%,-7.8%
"Philadelphia, PA metro area",January 2017,All Residential,Metro,False,PA,0.959582947,0.1%,0.9%,1587,-26.0%,0.9%,7960,-1.4%,-15.9%,62,14,-7,$170K,-2.9%,9.7%,2430,51.2%,9.2%
"Philadelphia, PA metro area",October 2019,All Residential,Metro,False,PA,0.969436057,0.2%,0.2%,2080,-0.1%,-3.8%,7302,0.7%,5.4%,39,1,7,$202K,1.0%,2.3%,2898,-2.9%,-1.2%
"Philadelphia, PA metro area",November 2019,All Residential,Metro,False,PA,0.966329054,-0.3%,0.1%,1967,-5.4%,-7.6%,6795,-6.9%,3.7%,41,2,6,$217K,7.4%,9.3%,2145,-26.0%,1.0%
"Seattle, WA metro area",June 2015,All Residential,Metro,False,WA,1.014043602,0.1%,1.0%,5179,12.2%,18.3%,6983,4.0%,-16.5%,10,1,-2,$415K,3.9%,7.8%,5654,-2.8%,6.4%
"Seattle, WA metro area",February 2016,All Residential,Metro,False,WA,1.012536573,1.1%,1.5%,2760,17.5%,5.5%,4020,0.6%,-31.4%,13,-10,-26,$405K,-0.6%,12.8%,3878,20.6%,-0.6%
"Phoenix, AZ",February 2014,All Residential,Place/City,False,AZ,0.973160030,-0.3%,-2.0%,1543,12.6%,-18.9%,7514,4.9%,46.8%,60,-1,15,$165K,0.0%,13.8%,2544,-7.6%,13.8%
"Phoenix, AZ",May 2015,All Residential,Place/City,False,AZ,0.978923664,0.2%,0.4%,2276,-0.8%,7.6%,6074,-2.3%,-10.6%,45,-3,-8,$200K,3.4%,15.6%,2616,-1.7%,2.6%
"Los Angeles, CA",May 2020,All Residential,Place/City,False,CA,0.990498827,-0.9%,-0.7%,1096,-13.6%,-55.1%,6595,11.2%,-19.6%,50,8,3,$750K,2.9%,3.4%,2546,54.6%,-24.8%
"New York, NY",August 2015,All Residential,Place/City,False,NY,0.966253393,0.5%,,1779,1.5%,,18832,2.2%,,73,-13,,$460K,-1.0%,,3142,-6.8%,
"Houston, TX",November 2012,All Residential,Place/City,False,TX,0.966749869,0.1%,0.5%,2158,-5.7%,27.9%,7890,-5.0%,-28.6%,53,0,-29,$153K,-0.9%,12.1%,2278,-13.2%,0.6%
"Houston, TX",May 2020,All Residential,Place/City,False,TX,0.972022947,-0.2%,-0.4%,2092,2.5%,-35.4%,9740,-2.9%,-10.2%,40,4,8,$228K,-3.8%,-5.0%,3649,29.9%,-20.6%
"Los Angeles, CA metro area",January 2018,All Residential,Metro,False,CA,0.995583186,-0.2%,0.6%,4473,-25.3%,-7.2%,13365,9.8%,-11.4%,47,2,-6,$575K,-1.7%,6.5%,6989,94.7%,5.1%
"Los Angeles, CA metro area",March 2020,All Residential,Metro,False,CA,1.001969458,0.6%,1.2%,5179,18.3%,-3.5%,13829,-0.5%,-26.4%,42,-6,-9,$660K,3.9%,6.0%,6158,-7.2%,-20.5%
"Washington, DC metro area",June 2016,All Residential,Metro,False,DC,0.991712745,-0.1%,0.1%,8149,12.4%,7.3%,18211,-0.1%,-12.1%,22,2,-1,$391K,1.6%,0.3%,8614,-5.6%,1.1%
"Washington, DC metro area",November 2017,All Residential,Metro,False,DC,0.989488640,-0.2%,0.2%,5538,-8.4%,5.0%,13569,-12.2%,-6.7%,32,4,-4,$385K,1.8%,4.1%,4998,-24.6%,2.1%
"Washington, DC metro area",February 2018,All Residential,Metro,False,DC,0.990217253,0.3%,0.2%,4379,7.0%,0.2%,10986,4.1%,-12.3%,42,-1,-4,$375K,2.7%,2.8%,6761,27.6%,-6.2%
"Chicago, IL metro area",December 2013,All Residential,Metro,False,IL,0.970961155,0.3%,1.8%,7195,7.5%,10.9%,26669,-8.3%,-11.5%,52,2,-16,$175K,2.9%,15.9%,5683,-17.3%,7.5%
"Chicago, IL metro area",March 2015,All Residential,Metro,False,IL,0.963312043,0.5%,-0.4%,7280,42.9%,15.5%,32767,6.8%,12.5%,70,-7,9,$200K,16.3%,14.1%,14015,42.4%,15.4%
"Boston, MA metro area",April 2013,All Residential,Metro,False,MA,0.981584478,0.9%,1.6%,3425,20.9%,4.9%,20694,20.4%,-16.5%,85,-26,-23,$350K,7.5%,8.2%,7780,40.0%,15.7%
"Boston, MA metro area",June 2013,All Residential,Metro,False,MA,0.989487652,0.4%,1.7%,5591,21.4%,6.1%,22392,-1.7%,-7.7%,78,0,-14,$391K,7.0%,4.1%,6109,-20.6%,13.1%
"Philadelphia, PA metro area",November 2013,All Residential,Metro,False,PA,0.942023104,0.0%,0.6%,1444,-11.8%,-3.2%,10749,-4.2%,-2.5%,58,1,-9,$151K,0.7%,0.7%,1899,-26.3%,9.3%
"Philadelphia, PA metro area",August 2015,All Residential,Metro,False,PA,0.957860082,0.0%,0.7%,2088,-13.2%,8.9%,11322,-1.4%,-5.8%,51,7,7,$173K,-3.8%,1.1%,2692,-7.5%,6.7%
"Philadelphia, PA metro area",June 2016,All Residential,Metro,False,PA,0.969247111,0.7%,1.0%,2983,24.9%,14.4%,9894,-0.7%,-14.1%,40,-2,-1,$195K,2.7%,2.6%,3076,-4.9%,-3.1%
"Seattle, WA metro area",June 2020,All Residential,Metro,False,WA,1.007784033,0.4%,0.5%,4368,46.7%,-7.6%,4647,-3.9%,-42.0%,9,0,-2,$615K,5.1%,6.0%,5220,10.9%,-4.3%
"Phoenix, AZ",February 2013,All Residential,Place/City,False,AZ,0.993287481,0.4%,0.4%,1903,12.7%,-11.9%,5120,-2.4%,-12.4%,45,3,-12,$145K,7.4%,43.1%,2235,-9.0%,-7.5%
"Phoenix, AZ",July 2016,All Residential,Place/City,False,AZ,0.979651083,0.0%,0.0%,2204,-10.2%,-3.1%,6262,-2.6%,7.9%,47,0,3,$215K,-3.4%,7.5%,2376,-10.0%,-3.7%
"Phoenix, AZ",January 2019,All Residential,Place/City,False,AZ,0.977073991,-0.4%,-0.1%,1469,-17.1%,-11.4%,5980,11.3%,11.0%,56,7,0,$256K,3.4%,7.9%,2634,69.1%,-0.7%
"Los Angeles, CA",July 2020,All Residential,Place/City,False,CA,0.998388061,0.8%,0.3%,2268,38.1%,-6.4%,6983,0.6%,-15.6%,46,-2,-2,$810K,8.0%,8.0%,3406,14.4%,9.1%
"New York, NY",March 2018,All Residential,Place/City,False,NY,0.967907612,0.2%,-0.4%,1837,15.9%,-5.1%,21971,2.8%,-6.8%,85,7,-10,$625K,-0.8%,5.2%,4541,13.3%,-0.5%
"New York, NY",May 2018,All Residential,Place/City,False,NY,0.970657565,0.2%,0.1%,1905,7.7%,9.9%,24453,6.3%,0.2%,78,-8,6,$625K,2.5%,14.5%,5255,-3.7%,9.0%
"New York, NY",August 2018,All Residential,Place/City,False,NY,0.971234466,0.3%,0.1%,2161,0.3%,-12.2%,22949,-0.9%,9.2%,65,-7,-7,$646K,-4.0%,1.7%,3756,-8.4%,2.0%
"Los Angeles, CA metro area",February 2012,All Residential,Metro,False,CA,0.976666346,0.0%,-0.4%,5277,4.6%,12.9%,24284,-4.1%,-22.3%,68,-2,-10,$300K,3.4%,-4.8%,8126,-2.1%,-6.7%
"Los Angeles, CA metro area",May 2013,All Residential,Metro,False,CA,1.008698884,0.4%,2.4%,7489,10.0%,1.2%,10857,5.3%,-45.8%,15,-2,-34,$416K,2.8%,30.1%,8461,-0.7%,1.4%
"Los Angeles, CA metro area",October 2014,All Residential,Metro,False,CA,0.990361697,-0.1%,-1.0%,6427,6.6%,-3.9%,17697,-2.0%,23.8%,37,7,15,$475K,1.1%,8.7%,7837,2.9%,2.0%
"Los Angeles, CA metro area",June 2015,All Residential,Metro,False,CA,0.996949308,0.0%,0.0%,7533,12.0%,16.3%,17051,4.1%,9.9%,29,-2,7,$508K,2.6%,9.2%,9373,8.2%,11.6%
"Los Angeles, CA metro area",November 2015,All Residential,Metro,False,CA,0.991319540,-0.2%,0.3%,4917,-24.1%,-4.0%,15432,-7.3%,-5.6%,37,2,-3,$499K,0.0%,6.9%,5854,-23.1%,8.0%
"Los Angeles, CA metro area",January 2019,All Residential,Metro,False,CA,0.984947194,-0.4%,-1.1%,3838,-21.6%,-14.2%,17511,7.5%,31.0%,59,8,12,$594K,-1.1%,3.2%,6808,96.5%,-2.6%
"Washington, DC metro area",November 2014,All Residential,Metro,False,DC,0.983850900,-0.1%,-0.6%,4117,-19.4%,-2.2%,16758,-12.1%,15.0%,42,2,11,$355K,0.0%,2.7%,4276,-32.7%,-6.5%
"Washington, DC metro area",June 2019,All Residential,Metro,False,DC,0.997233665,-0.1%,0.0%,7681,-4.0%,-7.0%,15170,0.5%,1.4%,26,3,11,$428K,0.8%,1.9%,7976,-19.0%,-9.3%
"Chicago, IL metro area",February 2012,All Residential,Metro,False,IL,0.941130990,0.2%,-0.5%,4353,8.1%,23.4%,40524,1.2%,-18.3%,99,4,1,$135K,-3.6%,-8.8%,9747,18.6%,11.1%
"Chicago, IL metro area",August 2012,All Residential,Metro,False,IL,0.954663420,0.1%,1.5%,8076,8.8%,29.3%,39008,-3.3%,-21.8%,64,2,-25,$170K,-1.2%,-2.4%,9740,-2.9%,1.0%
"Chicago, IL metro area",September 2013,All Residential,Metro,False,IL,0.973204199,-0.2%,1.7%,8370,-16.8%,27.2%,33032,1.8%,-13.3%,41,2,-22,$185K,-6.6%,15.6%,10207,-9.9%,15.6%
"Chicago, IL metro area",May 2016,All Residential,Metro,False,IL,0.973979852,0.2%,0.4%,10135,13.1%,9.1%,33368,3.7%,-8.7%,36,-5,-6,$235K,1.7%,5.4%,14063,-2.5%,-0.8%
"Chicago, IL metro area",November 2019,All Residential,Metro,False,IL,0.968111458,-0.2%,-0.1%,6600,-16.1%,-7.4%,27834,-12.3%,1.2%,50,2,3,$242K,0.4%,3.0%,5908,-36.2%,-7.3%
"Boston, MA metro area",April 2012,All Residential,Metro,False,MA,0.966053019,0.5%,0.5%,3265,13.0%,18.2%,24790,10.0%,-2.7%,108,-36,-15,$323K,5.9%,1.7%,6722,-6.0%,-7.4%
"Boston, MA metro area",May 2017,All Residential,Metro,False,MA,1.009306228,0.6%,0.9%,4644,43.3%,1.0%,8724,8.6%,-12.7%,10,-2,-1,$455K,2.0%,6.8%,7572,18.2%,6.2%
"Philadelphia, PA metro area",November 2012,All Residential,Metro,False,PA,0.936147825,-0.2%,1.0%,1491,11.5%,23.6%,11024,-5.0%,-8.8%,67,2,-21,$150K,0.5%,7.1%,1737,-25.2%,-6.8%
"Philadelphia, PA metro area",April 2013,All Residential,Metro,False,PA,0.947562684,0.6%,0.8%,1732,17.7%,21.6%,10908,5.2%,-8.6%,55,-24,-21,$146K,-4.9%,-2.7%,3364,8.6%,20.5%
"Philadelphia, PA metro area",December 2017,All Residential,Metro,False,PA,0.962527909,0.0%,0.4%,2195,0.0%,2.3%,7047,-13.9%,-12.7%,57,4,9,$190K,2.6%,8.5%,1481,-31.1%,-7.8%
"Philadelphia, PA metro area",May 2019,All Residential,Metro,False,PA,0.972575741,0.0%,-0.2%,2663,20.2%,-1.0%,7484,5.1%,9.4%,37,-4,7,$218K,3.8%,5.8%,3580,2.5%,1.2%
"Philadelphia, PA metro area",February 2020,All Residential,Metro,False,PA,0.962143679,-0.2%,0.3%,1657,-5.5%,16.0%,5977,4.4%,-6.5%,58,4,6,$218K,3.8%,17.6%,2664,11.9%,6.7%
"Seattle, WA metro area",May 2012,All Residential,Metro,False,WA,0.989904126,0.6%,1.5%,3571,13.5%,24.6%,9384,-0.4%,-37.1%,35,-12,-23,$299K,3.1%,6.8%,4467,4.4%,2.7%
"Seattle, WA metro area",March 2013,All Residential,Metro,False,WA,1.000281738,0.5%,2.0%,3367,37.6%,13.6%,6041,-1.8%,-36.4%,23,-16,-46,$324K,4.5%,18.7%,4417,19.1%,6.9%
"Seattle, WA metro area",January 2014,All Residential,Metro,False,WA,0.990103653,-0.1%,-0.1%,2194,-30.1%,-3.8%,6631,-4.3%,9.5%,44,10,4,$330K,-5.7%,13.8%,3172,76.8%,-2.5%
"Seattle, WA metro area",February 2014,All Residential,Metro,False,WA,0.996557301,0.6%,0.1%,2466,12.4%,0.8%,6665,0.5%,8.4%,39,-5,0,$349K,5.8%,12.6%,3436,8.3%,-7.4%
"Seattle, WA metro area",April 2014,All Residential,Metro,False,WA,1.004045390,0.5%,-0.1%,3749,15.1%,-1.4%,7004,4.9%,8.4%,15,-8,0,$355K,3.8%,7.6%,5011,14.7%,2.5%
"Seattle, WA metro area",April 2015,All Residential,Metro,False,WA,1.009988970,0.5%,0.6%,4383,14.6%,16.9%,6270,6.0%,-10.5%,10,-6,-5,$400K,3.9%,12.7%,5720,11.7%,14.1%
"Phoenix, AZ",April 2014,All Residential,Place/City,False,AZ,0.975557523,0.3%,-1.6%,2116,17.4%,-12.7%,7266,-3.4%,44.5%,51,2,16,$172K,-2.0%,10.6%,2602,-3.1%,-5.5%
"Phoenix, AZ",September 2017,All Residential,Place/City,False,AZ,0.980701372,0.0%,0.3%,2084,-9.9%,-0.6%,5837,1.7%,-6.2%,42,-3,-7,$228K,-2.1%,1.3%,2483,-5.9%,-0.4%
"Phoenix, AZ",March 2019,All Residential,Place/City,False,AZ,0.981948098,0.2%,-0.2%,2254,26.6%,-13.6%,6215,1.4%,9.7%,48,-7,7,$255K,0.4%,4.3%,2919,20.5%,-3.6%
"Los Angeles, CA",January 2017,All Residential,Place/City,False,CA,0.992469126,0.2%,0.4%,1825,-21.5%,3.7%,5855,1.9%,4.4%,53,6,14,$618K,4.3%,10.6%,2549,73.8%,-6.2%
"New York, NY",October 2018,All Residential,Place/City,False,NY,0.965448140,0.0%,0.1%,2095,16.6%,1.0%,23597,3.1%,8.1%,70,6,12,$635K,0.6%,10.4%,4747,1.9%,13.2%
"New York, NY",June 2020,All Residential,Place/City,False,NY,0.964252170,-0.5%,-0.3%,1103,33.9%,-43.7%,18736,15.5%,-9.3%,84,5,-6,$630K,0.2%,-8.7%,4700,130.3%,24.4%
"Houston, TX",March 2016,All Residential,Place/City,False,TX,0.970217804,0.1%,-0.7%,2441,30.4%,2.0%,8951,4.2%,29.3%,34,-15,11,$202K,10.4%,4.4%,3941,11.9%,13.8%
"Houston, TX",July 2019,All Residential,Place/City,False,TX,0.973300159,-0.3%,0.0%,3136,4.4%,8.0%,11294,1.5%,7.2%,30,2,1,$230K,-5.3%,0.9%,4074,-0.9%,-1.2%
"Los Angeles, CA metro area",January 2016,All Residential,Metro,False,CA,0.988612799,-0.1%,0.5%,4691,-28.7%,5.9%,14393,9.6%,-2.2%,43,5,-6,$500K,-2.0%,7.5%,7052,62.2%,-4.1%
"Los Angeles, CA metro area",July 2016,All Residential,Metro,False,CA,0.997545701,-0.1%,0.1%,6761,-10.0%,-10.9%,18670,5.9%,6.2%,33,0,3,$543K,-0.1%,7.5%,9128,-3.2%,-1.4%
"Los Angeles, CA metro area",August 2018,All Residential,Metro,False,CA,0.999765535,-0.1%,-0.1%,6960,6.2%,-8.1%,19159,2.2%,9.0%,38,2,-1,$629K,0.2%,6.6%,8420,0.0%,3.1%
"Washington, DC metro area",January 2013,All Residential,Metro,False,DC,0.982307802,-0.2%,0.7%,3636,-19.9%,11.7%,11555,-5.5%,-25.7%,48,6,-20,$300K,-7.7%,7.2%,5027,54.9%,-3.5%
"Washington, DC metro area",April 2014,All Residential,Metro,False,DC,0.990781362,0.2%,-0.2%,5236,19.0%,-4.7%,15804,12.6%,19.3%,23,-8,5,$365K,5.6%,3.5%,9423,21.4%,6.3%
"Washington, DC metro area",March 2016,All Residential,Metro,False,DC,0.987164536,0.3%,0.0%,5320,31.6%,5.1%,16167,14.8%,0.3%,47,-17,4,$360K,4.7%,0.8%,10397,61.7%,16.2%
"Chicago, IL metro area",July 2012,All Residential,Metro,False,IL,0.953450179,-0.1%,0.9%,7420,-7.0%,29.9%,40319,-1.6%,-21.0%,62,0,-21,$172K,-4.7%,-4.4%,10030,-7.6%,6.3%
"Chicago, IL metro area",November 2014,All Residential,Metro,False,IL,0.962721875,-0.2%,-0.5%,6170,-22.9%,-7.8%,33390,-7.8%,14.8%,54,4,4,$183K,-2.4%,7.6%,6809,-29.0%,-0.9%
"Chicago, IL metro area",December 2019,All Residential,Metro,False,IL,0.967545674,-0.1%,0.1%,7001,6.1%,13.9%,23682,-14.9%,0.5%,55,5,1,$241K,-0.4%,5.2%,4504,-23.8%,6.5%
"Los Angeles, CA metro area",May 2015,All Residential,Metro,False,CA,0.996587277,0.2%,-0.1%,6724,0.5%,4.1%,16378,3.0%,13.7%,31,-1,9,$495K,0.0%,6.0%,8660,-3.5%,1.9%
"Washington, DC metro area",December 2012,All Residential,Metro,False,DC,0.984169228,-0.1%,0.9%,4541,-7.0%,4.8%,12224,-10.7%,-24.3%,42,9,-18,$325K,-1.5%,15.0%,3246,-23.0%,-2.9%
"Washington, DC metro area",October 2013,All Residential,Metro,False,DC,0.991182709,-0.1%,0.8%,5111,1.5%,12.8%,15811,-1.4%,6.2%,27,2,-7,$342K,-0.9%,6.9%,6191,-9.3%,14.7%
"Washington, DC metro area",December 2016,All Residential,Metro,False,DC,0.987646632,0.0%,0.2%,5594,6.0%,-2.3%,12527,-13.8%,-15.0%,43,7,-8,$372K,0.5%,6.3%,3806,-22.2%,3.0%
"Washington, DC metro area",August 2018,All Residential,Metro,False,DC,0.991892280,-0.1%,0.0%,7074,-5.2%,-1.0%,14785,1.3%,-6.9%,24,5,-3,$399K,-0.9%,3.1%,7246,-4.8%,-0.9%
"Chicago, IL metro area",February 2014,All Residential,Metro,False,IL,0.969153868,0.2%,1.0%,5022,-2.2%,-3.4%,27480,4.1%,-9.2%,65,6,-8,$158K,-3.7%,13.7%,9241,21.1%,-4.9%
"Chicago, IL metro area",February 2016,All Residential,Metro,False,IL,0.964142289,0.1%,0.6%,5440,-0.6%,6.8%,28956,6.8%,-5.6%,71,5,-6,$190K,0.0%,10.5%,11757,42.9%,19.5%
"Chicago, IL metro area",December 2017,All Residential,Metro,False,IL,0.969771837,0.0%,0.4%,7189,-0.7%,0.6%,22119,-14.9%,-8.8%,49,5,-5,$227K,0.2%,5.1%,4542,-31.4%,-1.8%
"Boston, MA metro area",April 2017,All Residential,Metro,False,MA,1.003017566,0.7%,0.8%,3240,-5.2%,-11.2%,8033,13.6%,-17.8%,12,-8,-4,$446K,3.6%,7.5%,6408,2.2%,-8.9%
"Boston, MA metro area",July 2020,All Residential,Metro,False,MA,1.005931173,0.7%,0.4%,5340,31.8%,-5.8%,8215,-2.7%,-24.4%,20,-1,5,$555K,2.8%,4.7%,6319,-6.2%,28.1%
"Philadelphia, PA metro area",July 2012,All Residential,Metro,False,PA,0.943914317,-0.3%,0.5%,1628,-6.7%,10.7%,11697,-1.0%,-11.7%,61,6,-6,$170K,-0.9%,6.5%,2427,-3.1%,5.2%
"Philadelphia, PA metro area",January 2013,All Residential,Metro,False,PA,0.933422211,-0.4%,1.2%,1263,-17.0%,21.8%,9964,-1.5%,-10.6%,77,8,-11,$135K,-10.0%,0.7%,2428,85.2%,7.8%
"Philadelphia, PA metro area",July 2013,All Residential,Metro,False,PA,0.950733867,-0.3%,0.7%,1950,-7.1%,19.8%,11288,1.5%,-3.5%,46,3,-15,$175K,-4.4%,2.7%,2809,7.1%,15.7%
"Philadelphia, PA metro area",February 2014,All Residential,Metro,False,PA,0.938203376,0.0%,0.3%,1047,-14.3%,-14.1%,9521,0.0%,-5.7%,75,10,-11,$145K,-2.0%,3.2%,2103,0.0%,-15.5%
"Philadelphia, PA metro area",July 2016,All Residential,Metro,False,PA,0.964448066,-0.5%,0.6%,2382,-20.1%,-1.0%,10059,1.7%,-12.4%,36,-4,-8,$183K,-6.3%,1.6%,2601,-15.4%,-10.6%
"Philadelphia, PA metro area",December 2016,All Residential,Metro,False,PA,0.958707555,0.2%,0.7%,2145,7.5%,5.6%,8075,-9.8%,-17.3%,48,0,-10,$175K,1.4%,9.4%,1607,-23.0%,-4.9%
"Philadelphia, PA metro area",September 2017,All Residential,Metro,False,PA,0.968092021,0.0%,0.5%,2200,-15.3%,4.3%,8748,1.2%,-8.5%,41,2,-7,$184K,-2.9%,8.2%,2853,-1.4%,2.7%
"Philadelphia, PA metro area",June 2018,All Residential,Metro,False,PA,0.977379180,0.3%,0.6%,3030,12.6%,-4.3%,6766,-1.1%,-24.3%,29,-1,-5,$215K,4.5%,1.9%,3176,-10.2%,-1.4%
"Seattle, WA metro area",April 2012,All Residential,Metro,False,WA,0.984358509,0.4%,1.1%,3146,6.2%,18.9%,9417,-0.8%,-36.7%,47,-22,-21,$290K,6.2%,0.0%,4280,3.6%,-4.6%
"Seattle, WA metro area",March 2014,All Residential,Metro,False,WA,0.999082297,0.3%,-0.1%,3258,32.1%,-3.2%,6678,0.2%,10.5%,23,-16,0,$342K,-2.0%,5.6%,4368,27.1%,-1.1%
"Seattle, WA metro area",May 2014,All Residential,Metro,False,WA,1.003687868,0.0%,-0.5%,3997,6.6%,-7.7%,7654,9.3%,3.0%,13,-2,2,$365K,2.8%,4.6%,5957,18.9%,5.5%
"Seattle, WA metro area",August 2019,All Residential,Metro,False,WA,0.996065924,-0.3%,-0.7%,4541,-3.6%,1.5%,7504,-3.4%,-8.8%,18,4,6,$560K,-0.4%,1.8%,4379,-8.8%,-16.4%
"Phoenix, AZ",September 2015,All Residential,Place/City,False,AZ,0.979662685,0.1%,0.5%,2001,-1.4%,13.2%,5980,3.8%,-11.1%,42,-1,-11,$200K,0.8%,11.1%,2520,7.3%,15.6%
"Phoenix, AZ",January 2016,All Residential,Place/City,False,AZ,0.972336359,-0.4%,0.1%,1502,-21.4%,13.3%,6027,8.9%,-6.2%,55,6,-11,$192K,-5.7%,6.4%,2522,67.8%,0.9%
"Phoenix, AZ",May 2017,All Residential,Place/City,False,AZ,0.980995882,-0.2%,0.1%,2739,12.1%,14.7%,6016,-4.4%,-8.3%,42,-2,-5,$228K,4.2%,5.0%,2799,-0.3%,5.1%
"Phoenix, AZ",December 2017,All Residential,Place/City,False,AZ,0.979004458,-0.1%,0.2%,2016,1.7%,0.6%,5032,-10.7%,-9.1%,47,-1,-4,$235K,-1.1%,7.7%,1576,-26.7%,-3.4%
"Phoenix, AZ",July 2019,All Residential,Place/City,False,AZ,0.984284767,0.0%,-0.2%,2551,-1.8%,5.0%,4877,-8.1%,-11.4%,41,-2,2,$265K,-0.4%,3.9%,2324,-2.4%,-3.8%
"Phoenix, AZ",September 2019,All Residential,Place/City,False,AZ,0.984876644,0.1%,0.3%,2232,-7.7%,13.1%,4608,-0.8%,-17.7%,39,-3,-6,$273K,2.3%,9.7%,2358,-5.9%,-1.3%
"Los Angeles, CA",February 2017,All Residential,Place/City,False,CA,0.994492671,0.2%,0.1%,1724,-5.5%,0.9%,5939,1.4%,2.7%,56,3,13,$615K,-0.5%,7.0%,2587,1.5%,-11.3%
"Houston, TX",August 2013,All Residential,Place/City,False,TX,0.981668208,0.0%,1.2%,3004,-2.5%,9.2%,7197,0.2%,-23.2%,23,1,-23,$179K,-0.4%,17.4%,3419,-8.2%,15.4%
"Houston, TX",January 2015,All Residential,Place/City,False,TX,0.978136364,-0.1%,0.5%,1618,-39.3%,-8.0%,6565,9.9%,10.4%,33,5,-9,$170K,-12.3%,7.9%,3210,50.8%,12.0%
"Houston, TX",February 2015,All Residential,Place/City,False,TX,0.975918496,-0.2%,0.1%,1839,13.7%,-12.3%,6838,4.2%,17.8%,27,-6,-9,$177K,4.2%,4.1%,3165,-1.4%,12.6%
"Houston, TX",December 2018,All Residential,Place/City,False,TX,0.969485569,0.0%,0.4%,2498,2.4%,-6.6%,9249,-7.5%,12.4%,51,7,7,$218K,0.0%,0.4%,2164,-21.7%,1.7%
"Houston, TX",March 2020,All Residential,Place/City,False,TX,0.973107304,0.4%,0.2%,2633,20.1%,0.7%,10071,3.2%,0.5%,45,-10,0,$240K,2.8%,5.8%,3765,2.3%,-8.9%
"Los Angeles, CA metro area",March 2018,All Residential,Metro,False,CA,1.003428328,0.4%,0.8%,6385,46.2%,-3.5%,14945,2.7%,-7.5%,36,-6,-6,$602K,1.1%,8.5%,8040,9.1%,-11.0%
"Washington, DC metro area",March 2012,All Residential,Metro,False,DC,0.980300672,0.3%,0.1%,4521,23.4%,-6.1%,16523,5.7%,-20.7%,50,-13,-13,$307K,10.5%,10.4%,8228,37.2%,-0.1%
