Cities,Year,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Thorndale,2017,"1,293",4,0,0,0,4,20,4,16,0,0
Thrall,2017,943,0,0,0,0,0,2,0,2,0,0
Three Rivers,2017,"1,956",12,0,0,0,12,18,9,9,0,0
Tioga,2017,958,1,0,0,0,1,4,1,1,2,0
Tomball,2017,"11,807",31,1,7,7,16,329,37,252,40,1
Tool,2017,"2,284",2,0,1,0,1,19,5,10,4,0
Trophy Club,2017,"12,999",2,0,0,1,1,88,8,72,8,0
Troup,2017,"2,001",15,0,2,1,12,55,19,34,2,0
Tulia,2017,"4,673",21,0,2,3,16,110,18,87,5,0
Tye,2017,"1,260",4,0,0,0,4,25,4,19,2,0
Tyler,2017,"106,115",464,6,65,60,333,"3,337",446,"2,745",146,4
Universal City,2017,"20,668",77,2,9,19,47,584,123,416,45,7
University Park,2017,"25,218",11,0,5,4,2,314,38,257,19,1
Uvalde,2017,"16,671",39,1,4,11,23,616,81,525,10,0
Van,2017,"2,745",6,0,2,1,3,45,7,31,7,0
Van Alstyne,2017,"3,700",3,0,0,0,3,47,8,36,3,2
Venus,2017,"3,535",4,1,0,1,2,27,5,18,4,0
Vernon,2017,"10,378",38,1,7,4,26,338,56,268,14,3
Victoria,2017,"68,544",217,4,48,49,116,"2,436",646,"1,680",110,4
Vidor,2017,"11,000",30,2,3,5,20,313,60,219,34,1
Waco,2017,"135,997",690,5,117,108,460,"4,889",957,"3,741",191,15
Waelder,2017,"1,133",3,0,1,0,2,2,2,0,0,0
Wake Village,2017,"5,448",8,1,1,3,3,139,25,104,10,0
Waller,2017,"2,847",7,0,1,1,5,60,13,42,5,0
Wallis,2017,"1,306",2,0,0,0,2,5,1,4,0,0
Watauga,2017,"24,814",38,0,14,5,19,410,68,328,14,2
Waxahachie,2017,"35,169",51,3,3,19,26,749,80,599,70,0
Weatherford,2017,"30,712",33,0,3,5,25,707,113,555,39,2
Webster,2017,"11,149",57,0,18,23,16,844,123,640,81,0
Weimar,2017,"2,173",6,0,3,0,3,20,6,10,4,0
Weslaco,2017,"40,554",147,0,24,26,97,"1,630",146,"1,434",50,2
West,2017,"2,892",8,0,5,1,2,51,10,40,1,0
West Lake Hills3,2017,"3,438",2,0,0,1,1,70,12,53,5,0
West Orange,2017,"3,457",5,0,0,0,5,112,12,94,6,0
Westover Hills,2017,714,2,0,0,1,1,32,14,17,1,0
West University Place,2017,"15,676",10,0,0,9,1,137,44,89,4,0
Westworth,2017,"2,765",8,0,1,5,2,270,9,256,5,0
Wharton,2017,"8,769",51,0,1,14,36,286,54,226,6,4
Whitehouse,2017,"8,366",35,0,4,0,31,78,19,57,2,0
White Oak,2017,"6,343",6,0,3,0,3,100,11,70,19,0
Whitesboro,2017,"4,002",7,0,0,0,7,35,2,30,3,0
White Settlement,2017,"17,385",32,1,0,17,14,432,101,282,49,0
Wichita Falls,2017,"104,706",374,4,78,127,165,"3,257",725,"2,294",238,0
Willis,2017,"6,450",42,0,8,9,25,161,27,123,11,2
Willow Park3,2017,"5,371",6,2,2,0,2,56,11,42,3,0
Wills Point,2017,"3,622",12,0,3,1,8,80,21,57,2,0
Wilmer,2017,"4,069",4,0,0,2,2,83,21,54,8,0
Windcrest,2017,"5,939",19,1,4,8,6,394,19,345,30,0
Wink,2017,"1,066",1,0,1,0,0,3,0,2,1,0
Winnsboro,2017,"3,356",9,0,1,0,8,94,20,68,6,0
Winters,2017,"2,529",28,0,2,0,26,33,15,15,3,1
Wolfforth,2017,"4,552",0,0,0,0,0,22,11,11,0,0
Woodbranch,2017,"1,396",0,0,0,0,0,7,3,4,0,0
Woodville,2017,"2,458",1,0,0,0,1,9,5,4,0,0
Woodway,2017,"8,894",14,0,3,1,10,91,8,83,0,0
Wortham,2017,"1,009",0,0,0,0,0,13,6,6,1,0
Wylie,2017,"48,772",46,0,14,4,28,425,50,347,28,2
Yoakum,2017,"6,055",11,0,7,0,4,91,45,43,3,1
Yorktown,2017,"2,177",5,0,3,1,1,26,10,14,2,0
