City,Year,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition1)","Rape
(legacy
definition2)",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Palmview,2016,"5,763",83,3,4,,7,69,300,59,223,18,0
Pampa,2016,"18,228",101,3,0,,11,87,837,178,615,44,0
Panhandle,2016,"2,321",10,0,0,,0,10,13,4,9,0,0
Paris,2016,"24,706",169,1,3,,28,137,990,276,668,46,0
Parker,2016,"4,488",5,0,2,,0,3,22,10,12,0,0
Pasadena,2016,"154,648",691,3,105,,211,372,"4,008",683,"2,912",413,20
Patton Village,2016,"1,632",3,0,0,,0,3,12,3,6,3,0
Pearland,2016,"112,814",197,1,37,,62,97,"2,046",254,"1,683",109,5
Pearsall,2016,"10,151",16,0,1,,3,12,182,56,121,5,0
Pecos,2016,"9,669",58,1,6,,2,49,191,31,158,2,0
Pelican Bay,2016,"1,653",2,1,0,,1,0,7,4,2,1,1
Penitas,2016,"4,785",22,0,2,,1,19,103,15,79,9,1
Pflugerville,2016,"58,975",144,2,21,,28,93,948,119,789,40,1
Pharr,2016,"77,744",228,1,25,,35,167,"1,807",292,"1,431",84,18
Pilot Point,2016,"4,140",12,1,3,,2,6,39,14,21,4,0
Pinehurst,2016,"2,078",8,0,0,,1,7,56,4,48,4,0
Pittsburg,2016,"4,622",25,0,2,,2,21,127,24,99,4,0
Plainview,2016,"20,667",59,0,9,,6,44,770,130,602,38,4
Plano,2016,"288,242",399,5,77,,109,208,"5,479",903,"4,181",395,15
Pleasanton,2016,"10,013",34,2,5,,8,19,499,97,378,24,0
Ponder,2016,"1,559",4,0,3,,0,1,19,2,16,1,0
Port Aransas,2016,"4,055",17,1,3,,3,10,430,36,362,32,1
Port Arthur,2016,"55,510",362,5,18,,105,234,"1,829",580,"1,123",126,8
Port Isabel,2016,"5,015",40,0,2,,1,37,237,26,199,12,0
Portland,2016,"16,340",21,1,5,,3,12,539,55,458,26,1
Port Lavaca,2016,"12,458",112,2,19,,6,85,429,144,266,19,2
Port Neches3,2016,"12,741",51,0,5,,4,42,174,34,122,18,1
Poteet,2016,"3,450",5,0,1,,1,3,140,24,107,9,0
Poth,2016,"2,220",1,0,0,,0,1,13,7,6,0,0
Pottsboro,2016,"2,267",2,0,1,,1,0,8,1,6,1,0
Prairie View,2016,"6,538",7,0,0,,1,6,34,16,17,1,0
Presidio,2016,"3,802",1,0,0,,0,1,16,4,11,1,0
Primera,2016,"4,748",2,0,0,,0,2,20,9,10,1,0
Princeton,2016,"9,426",19,0,1,,1,17,188,20,163,5,0
Prosper,2016,"17,634",11,0,3,,4,4,227,37,188,2,0
Queen City,2016,"1,466",16,0,1,,0,15,23,4,15,4,0
Quitman,2016,"1,830",7,0,1,,1,5,37,12,23,2,0
Ralls,2016,"1,890",2,0,0,,0,2,0,0,0,0,0
Rancho Viejo,2016,"2,502",0,0,0,,0,0,12,6,5,1,0
Ranger,2016,"2,463",20,1,1,,0,18,47,14,30,3,0
Raymondville,2016,"11,104",80,0,7,,4,69,374,92,277,5,4
Red Oak,2016,"12,278",23,0,0,,15,8,382,140,212,30,1
Refugio,2016,"2,850",23,0,0,,1,22,22,6,14,2,0
Reno,2016,"3,302",2,0,0,,0,2,63,12,51,0,0
Richardson,2016,"113,216",156,5,16,,71,64,"2,473",389,"1,874",210,1
Richland Hills,2016,"8,159",19,0,7,,5,7,256,38,197,21,0
Richmond,2016,"12,245",43,2,0,,10,31,267,59,193,15,3
Richwood,2016,"3,895",3,0,0,,0,3,34,5,27,2,0
Riesel,2016,"1,021",1,0,0,,0,1,9,5,4,0,0
Rio Bravo,2016,"4,819",0,0,0,,0,0,0,0,0,0,0
Rio Grande City,2016,"14,518",17,0,0,,4,13,227,30,162,35,0
Rio Hondo,2016,"2,453",4,0,1,,0,3,32,10,22,0,1
River Oaks,2016,"7,782",13,0,0,,3,10,126,32,85,9,1
Roanoke,2016,"7,707",8,0,2,,2,4,146,10,125,11,0
Robinson,2016,"11,674",29,0,3,,1,25,98,20,75,3,0
Robstown,2016,"11,596",202,2,0,,7,193,397,147,235,15,4
Rockdale,2016,"5,619",13,0,4,,0,9,155,55,95,5,0
Rockport,2016,"10,725",38,1,5,,6,26,591,165,409,17,0
Rockwall,2016,"43,542",40,0,14,,5,21,800,63,660,77,0
Rollingwood,2016,"1,570",0,0,0,,0,0,6,2,4,0,0
Roma3,2016,"10,310",19,0,3,,0,16,144,29,94,21,0
Roman Forest,2016,"1,910",0,0,0,,0,0,13,2,9,2,0
Rosenberg,2016,"36,360",107,2,19,,21,65,618,160,396,62,1
Round Rock,2016,"119,308",173,0,31,,44,98,"2,653",303,"2,270",80,6
Rowlett,2016,"61,047",91,0,18,,16,57,915,172,711,32,3
Royse City,2016,"11,914",17,1,2,,3,11,120,18,92,10,0
Runaway Bay,2016,"1,433",1,0,1,,0,0,2,0,2,0,0
Sabinal,2016,"1,721",2,0,0,,1,1,37,2,35,0,0
Sachse,2016,"25,467",12,0,6,,1,5,323,40,267,16,0
Saginaw,2016,"22,540",39,1,16,,6,16,476,68,361,47,1
Salado,2016,"2,140",3,0,1,,0,2,26,8,15,3,0
San Angelo,2016,"101,870",371,6,58,,54,253,"4,991",875,"3,839",277,13
San Antonio,2016,"1,498,642","10,754",149,"1,190",,"2,232","7,183","77,786","12,235","58,318","7,233",254
San Augustine,2016,"1,989",3,0,0,,1,2,10,6,4,0,0
San Benito,2016,"24,535",81,0,39,,12,30,979,194,762,23,2
San Diego,2016,"4,350",11,0,0,,0,11,3,3,0,0,0
Sanger,2016,"7,913",10,0,3,,1,6,113,21,83,9,1
San Marcos,2016,"64,380",227,1,58,,56,112,"2,004",321,"1,466",217,3
San Saba,2016,"3,004",2,0,0,,0,2,1,0,1,0,1
Santa Anna,2016,"1,022",5,0,4,,0,1,8,4,4,0,0
Santa Fe,2016,"13,172",23,0,10,,3,10,196,42,134,20,2
Santa Rosa,2016,"2,875",2,0,1,,0,1,22,2,19,1,0
Schertz,2016,"39,225",85,0,19,,6,60,729,105,570,54,0
Schulenburg,2016,"2,941",23,0,1,,3,19,67,15,50,2,0
Seabrook,2016,"14,091",21,0,5,,5,11,211,24,160,27,0
Seagoville,2016,"16,085",17,0,0,,12,5,466,93,276,97,0
Seagraves,2016,"2,836",9,0,0,,0,9,46,24,20,2,0
Sealy,2016,"6,469",21,0,0,,6,15,181,68,107,6,0
Seguin,2016,"28,319",111,4,26,,15,66,"1,076",173,869,34,3
Selma,2016,"10,027",31,1,5,,7,18,361,38,312,11,0
Seminole,2016,"7,656",0,0,0,,0,0,121,13,105,3,0
Seven Points,2016,"1,447",7,0,0,,0,7,34,9,14,11,0
Seymour,2016,"2,636",8,0,1,,0,7,40,7,32,1,0
Shallowater,2016,"2,568",1,0,0,,1,0,28,15,9,4,0
Shamrock,2016,"2,007",5,0,0,,1,4,17,6,10,1,0
Shavano Park,2016,"3,631",0,0,0,,0,0,81,17,62,2,0
Shenandoah,2016,"2,914",6,1,0,,5,0,277,14,250,13,0
Sherman,2016,"41,139",127,4,20,,23,80,"1,251",297,866,88,4
Shiner,2016,"2,152",2,0,0,,1,1,16,2,14,0,0
Shoreacres,2016,"1,624",3,0,0,,0,3,12,5,7,0,0
Silsbee,2016,"6,693",14,0,0,,1,13,170,29,138,3,0
Sinton,2016,"5,756",53,0,3,,0,50,184,39,140,5,1
Slaton,2016,"6,061",23,1,2,,6,14,109,20,84,5,0
Smithville,2016,"4,159",19,0,4,,4,11,137,22,104,11,1
Snyder,2016,"11,882",9,0,2,,0,7,305,74,227,4,0
Socorro,2016,"33,447",44,0,5,,7,32,303,42,237,24,0
Somerset,2016,"1,814",3,0,0,,0,3,29,7,16,6,0
Sonora,2016,"2,841",2,0,2,,0,0,43,14,29,0,1
Sour Lake,2016,"1,765",1,0,0,,0,1,35,8,20,7,0
South Houston,2016,"17,650",89,1,5,,34,49,496,70,286,140,0
Southlake,2016,"30,644",19,2,0,,4,13,396,52,330,14,0
South Padre Island,2016,"2,895",49,0,16,,5,28,486,39,421,26,0
Southside Place,2016,"1,859",1,0,0,,1,0,27,1,25,1,0
Spearman,2016,"3,378",0,0,0,,0,0,0,0,0,0,0
Splendora,2016,"1,697",3,0,0,,0,3,28,9,14,5,0
Springtown,2016,"2,841",4,0,2,,0,2,52,10,40,2,0
Spring Valley,2016,"4,289",6,0,0,,0,6,145,21,119,5,0
Spur,2016,"1,183",11,0,0,,1,10,13,6,2,5,1
Stafford,2016,"18,602",96,2,13,,35,46,713,113,548,52,1
Stagecoach,2016,589,0,0,0,,0,0,0,0,0,0,0
Stamford,2016,"2,944",7,1,0,,0,6,59,21,29,9,2
Stanton,2016,"3,032",7,0,3,,1,3,44,2,41,1,0
Stephenville,2016,"20,787",29,0,8,,3,18,458,69,367,22,1
Stratford,2016,"2,085",5,0,0,,1,4,4,2,2,0,0
Sugar Land,2016,"90,088",77,0,16,,43,18,"1,460",250,"1,162",48,1
Sullivan City,2016,"4,223",17,0,0,,2,15,58,15,43,0,0
Sulphur Springs,2016,"16,227",29,0,5,,6,18,252,36,196,20,2
Sunrise Beach Village,2016,734,1,0,0,,0,1,8,4,4,0,0
Surfside Beach,2016,557,3,0,0,,0,3,20,9,9,2,0
Sweeny,2016,"3,780",11,0,5,,2,4,118,21,91,6,2
Sweetwater,2016,"10,785",49,1,3,,11,34,581,200,354,27,0
Taft,2016,"3,104",9,0,0,,0,9,63,9,54,0,0
Tahoka,2016,"2,551",6,0,2,,0,4,38,10,23,5,0
Tatum,2016,"1,378",2,0,0,,1,1,26,7,18,1,0
Taylor,2016,"16,979",32,0,3,,5,24,432,100,312,20,1
Teague,2016,"3,575",13,0,5,,1,7,71,26,37,8,1
Temple,2016,"73,411",226,7,34,,89,96,"2,298",493,"1,620",185,4
Terrell,2016,"17,211",103,0,14,,21,68,841,158,621,62,1
Terrell Hills,2016,"5,369",4,0,1,,2,1,123,29,90,4,0
Texarkana,2016,"37,442",314,4,23,,44,243,"1,875",338,"1,405",132,16
Texas City,2016,"48,095",249,2,33,,63,151,"1,759",324,"1,349",86,1
The Colony,2016,"42,925",64,1,28,,6,29,482,79,376,27,1
Thorndale,2016,"1,313",3,0,0,,0,3,17,5,12,0,0
Thrall,2016,936,6,0,3,,0,3,8,1,7,0,0
Three Rivers,2016,"1,996",10,0,1,,0,9,33,6,26,1,0
Tioga,2016,874,3,0,1,,0,2,14,6,6,2,1
Tomball,2016,"11,700",46,0,9,,13,24,394,59,288,47,1
Tool,2016,"2,274",2,0,1,,0,1,23,8,8,7,0
Trophy Club,2016,"12,645",11,0,1,,0,10,80,8,69,3,0
Troy,2016,"1,883",0,0,0,,0,0,36,9,27,0,1
Tulia,2016,"4,716",45,0,8,,3,34,95,16,78,1,0
Tye,2016,"1,263",1,0,0,,1,0,31,5,26,0,0
Tyler3,2016,"105,044",429,5,64,,106,254,,,,159,2
Universal City,2016,"20,275",34,0,5,,14,15,522,98,373,51,1
University Park,2016,"25,103",16,0,1,,13,2,303,33,253,17,0
Uvalde,2016,"16,619",47,0,9,,5,33,640,82,543,15,1
Van,2016,"2,695",2,0,1,,0,1,48,11,31,6,0
Van Alstyne,2016,"3,406",8,0,1,,0,7,35,6,23,6,0
Venus,2016,"3,366",5,0,1,,0,4,29,5,21,3,2
Vernon,2016,"10,495",60,0,11,,4,45,330,69,249,12,3
Vidor,2016,"10,991",36,0,0,,4,32,370,81,258,31,0
Waco,2016,"133,790",695,4,126,,156,409,"4,882","1,087","3,648",147,12
Wake Village,2016,"5,466",7,0,0,,4,3,130,18,106,6,0
Waller,2016,"2,559",8,0,0,,1,7,65,19,40,6,0
Wallis,2016,"1,303",4,0,0,,0,4,11,6,4,1,0
Watauga,2016,"24,725",46,1,17,,8,20,426,55,353,18,1
Waxahachie,2016,"34,152",52,0,0,,14,38,874,110,712,52,1
Weatherford,2016,"29,422",52,0,14,,9,29,615,82,502,31,1
Webster,2016,"11,213",61,0,16,,26,19,842,72,699,71,0
Weimar,2016,"2,163",8,0,2,,3,3,20,4,15,1,0
Weslaco,2016,"39,987",172,1,24,,41,106,"1,937",267,"1,607",63,2
West,2016,"2,898",5,0,0,,0,5,50,12,34,4,0
West Columbia,2016,"3,941",16,0,4,,1,11,82,23,58,1,0
West Lake Hills,2016,"3,364",1,0,0,,1,0,76,11,61,4,0
West Orange,2016,"3,459",11,0,0,,6,5,181,25,137,19,0
Westover Hills,2016,729,1,0,0,,0,1,6,2,4,0,0
West University Place,2016,"15,932",9,0,0,,7,2,133,79,48,6,0
Westworth,2016,"2,687",6,0,2,,2,2,216,5,208,3,0
Wharton,2016,"8,706",49,0,3,,9,37,440,44,377,19,2
Whitehouse3,2016,"8,286",35,0,12,,1,22,91,18,71,2,0
White Oak,2016,"6,317",7,0,1,,1,5,120,23,87,10,0
Whitesboro,2016,"3,931",6,0,1,,1,4,34,7,26,1,1
White Settlement,2016,"17,267",30,1,0,,17,12,433,108,257,68,0
Whitney,2016,"2,103",1,0,0,,1,0,46,10,36,0,0
Wichita Falls,2016,"104,685",445,9,124,,123,189,"3,734",825,"2,646",263,0
Willis,2016,"6,401",51,0,7,,13,31,180,42,124,14,2
Willow Park,2016,"5,130",2,0,0,,0,2,42,9,29,4,0
Wills Point,2016,"3,551",14,1,4,,1,8,62,15,43,4,0
Wilmer,2016,"3,978",10,0,1,,2,7,109,35,68,6,0
Windcrest,2016,"5,877",19,0,2,,9,8,351,18,306,27,0
Wink,2016,"1,087",0,0,0,,0,0,10,1,8,1,0
Winnsboro,2016,"3,354",12,0,2,,1,9,70,18,50,2,0
Winters,2016,"2,563",3,0,1,,1,1,82,34,44,4,0
Wolfforth3,2016,"4,371",0,0,0,,0,0,51,11,38,2,0
Woodbranch,2016,"1,396",0,0,0,,0,0,4,1,3,0,0
Woodville,2016,"2,457",3,0,2,,1,0,11,6,5,0,1
Woodway,2016,"8,836",15,0,4,,1,10,113,5,102,6,0
Wortham,2016,"1,019",2,0,0,,0,2,15,9,6,0,0
Wylie,2016,"47,772",50,0,7,,6,37,411,60,330,21,2
Yoakum,2016,"6,059",14,0,1,,3,10,94,44,49,1,1
Yorktown,2016,"2,157",5,0,1,,0,4,34,17,16,1,0
