City,Year,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Cuero,2014,"7,042",78,0,3,,1,74,240,52,181,7,2
Cumby,2014,781,0,0,0,,0,0,2,1,0,1,0
Daingerfield,2014,"2,519",6,0,0,,4,2,131,50,79,2,0
Dalhart,2014,"8,327",64,0,2,,4,58,180,38,134,8,2
Dallas,2014,"1,272,396","8,457",116,781,,"3,856","3,704","45,669","11,685","26,939","7,045",385
Dalworthington Gardens,2014,"2,354",5,0,0,,1,4,34,11,22,1,0
Danbury,2014,"1,741",4,0,0,,0,4,2,1,1,0,0
Dayton,2014,"7,421",29,1,1,,7,20,225,44,156,25,1
Decatur,2014,"6,316",10,0,1,,4,5,209,12,190,7,0
Deer Park,2014,"33,523",46,0,12,,13,21,684,92,543,49,2
De Kalb,2014,"1,653",18,0,0,,0,18,54,30,22,2,0
De Leon,2014,"2,184",12,0,5,,0,7,21,8,13,0,0
Del Rio,2014,"35,564",48,0,0,,4,44,927,200,701,26,3
Denison,2014,"22,838",88,0,17,,16,55,714,169,486,59,1
Denton,2014,"125,248",339,2,104,,55,178,"3,021",423,"2,464",134,0
Denver City,2014,"4,694",6,0,2,,0,4,58,14,41,3,0
DeSoto,2014,"52,038",147,0,14,,58,75,"1,773",383,"1,240",150,17
Devine,2014,"4,587",7,1,3,,0,3,65,9,53,3,0
Diboll,2014,"5,301",6,0,1,,0,5,99,29,66,4,0
Dickinson,2014,"19,429",54,0,8,,14,32,526,121,373,32,1
Dilley,2014,"4,113",14,1,2,,3,8,82,36,40,6,1
Dimmitt,2014,"4,404",5,0,0,,1,4,137,35,94,8,0
Donna,2014,"16,374",166,0,5,,16,145,941,243,656,42,5
Double Oak,2014,"3,025",5,0,0,,0,5,16,1,15,0,0
Driscoll,2014,760,0,0,0,,0,0,5,1,4,0,0
Dublin,2014,"3,710",2,0,0,,0,2,89,38,50,1,0
Dumas,2014,"15,010",38,0,4,,2,32,357,49,296,12,2
Duncanville,2014,"39,859",125,3,11,,58,53,"1,406",299,987,120,2
Eagle Lake,2014,"3,619",5,0,0,,0,5,24,16,8,0,0
Eagle Pass,2014,"28,036",36,0,1,,3,32,839,176,655,8,2
Early,2014,"2,812",27,0,7,,1,19,88,18,68,2,1
Eastland,2014,"3,872",14,0,0,,0,14,147,30,113,4,0
East Mountain,2014,802,3,0,0,,1,2,8,4,4,0,0
Edcouch,2014,"3,219",20,1,1,,1,17,74,22,51,1,0
Edinburg,2014,"82,349",296,1,66,,48,181,"4,420",562,"3,658",200,10
Edna,2014,"5,777",19,0,4,,0,15,98,28,69,1,4
El Campo,2014,"11,455",50,1,6,,4,39,296,72,213,11,2
Elgin,2014,"8,484",10,0,1,,6,3,208,59,147,2,0
El Paso,2014,"680,273","2,671",21,335,,415,"1,900","14,570","1,579","12,170",821,48
Elsa,2014,"6,820",96,0,2,,2,92,308,70,238,0,4
Ennis,2014,"18,743",56,0,6,,12,38,642,98,510,34,1
Euless,2014,"53,674",64,0,8,,27,29,"1,249",228,899,122,2
Everman,2014,"6,307",28,0,6,,8,14,152,45,102,5,2
Fairfield,2014,"2,885",3,0,0,,0,3,12,7,5,0,0
Fair Oaks Ranch,2014,"6,718",2,0,0,,0,2,28,13,15,0,0
Fairview,2014,"8,375",8,0,0,,1,7,67,7,56,4,1
Falfurrias,2014,"4,985",17,1,4,,3,9,119,39,80,0,2
Farmers Branch,2014,"32,478",61,0,11,,28,22,939,150,691,98,1
Farmersville,2014,"3,415",18,0,5,,5,8,82,35,46,1,0
Farwell,2014,"1,310",2,0,0,,0,2,20,6,13,1,0
Ferris,2014,"2,499",3,0,0,,1,2,57,10,43,4,1
Flatonia,2014,"1,393",5,0,0,,1,4,14,5,7,2,0
Florence,2014,"1,207",2,0,0,,0,2,4,0,4,0,0
Floresville,2014,"7,160",24,0,0,,2,22,296,37,239,20,0
Flower Mound,2014,"69,572",34,2,7,,8,17,642,84,536,22,3
Floydada,2014,"2,923",10,0,1,,0,9,60,27,29,4,0
Forest Hill,2014,"12,781",32,0,3,,18,11,411,101,278,32,0
Forney,2014,"17,167",32,0,1,,2,29,253,51,163,39,2
Fort Stockton,2014,"8,403",50,0,10,,5,35,242,62,168,12,0
Frankston,2014,"1,187",2,0,1,,0,1,62,23,39,0,0
Fredericksburg,2014,"10,898",7,0,0,,1,6,240,40,196,4,0
Freeport,2014,"12,104",40,2,4,,8,26,299,79,208,12,0
Freer,2014,"2,778",11,0,0,,0,11,79,28,46,5,0
Friendswood,2014,"38,012",21,0,11,,2,8,329,70,245,14,3
Friona,2014,"3,961",1,0,0,,0,1,26,9,12,5,0
Frisco,2014,"141,940",116,4,18,,20,74,"2,508",396,"2,038",74,8
Fulton,2014,"1,447",7,1,0,,1,5,60,23,33,4,0
Gainesville,2014,"16,036",78,1,10,,22,45,755,165,533,57,9
Galena Park,2014,"11,159",28,0,6,,8,14,219,66,106,47,0
Galveston,2014,"48,961",256,6,51,,105,94,"2,054",414,"1,447",193,17
Ganado,2014,"2,062",0,0,0,,0,0,8,2,4,2,0
Garden Ridge,2014,"3,738",0,0,0,,0,0,39,16,23,0,0
Garland,2014,"236,414",644,5,96,,312,231,"7,695","1,527","5,431",737,45
Gatesville,2014,"15,991",15,0,6,,1,8,272,67,194,11,0
Giddings,2014,"5,042",22,0,4,,2,16,130,23,105,2,0
Gilmer,2014,"5,168",43,0,0,,4,39,209,39,161,9,1
Gladewater,2014,"6,455",85,0,8,,6,71,485,108,363,14,0
Glenn Heights,2014,"11,869",44,0,6,,9,29,276,82,173,21,0
Godley,2014,"1,032",1,0,0,,0,1,15,2,11,2,4
Gonzales,2014,"7,452",111,0,6,,4,101,347,88,250,9,2
Gorman,2014,"1,046",2,1,0,,0,1,44,11,33,0,0
Graham,2014,"8,833",22,0,9,,0,13,184,33,141,10,4
Granbury,2014,"8,973",17,0,1,,2,14,535,33,499,3,0
Grand Prairie,2014,"185,273",482,4,74,,163,241,"4,635",913,"3,124",598,11
Grand Saline,2014,"3,098",9,0,1,,1,7,49,14,34,1,0
Granger,2014,"1,487",1,0,0,,0,1,15,2,13,0,0
Granite Shoals,2014,"4,938",7,0,6,,0,1,54,24,28,2,1
Grapeland,2014,"1,418",4,0,0,,0,4,24,12,12,0,0
Grapevine,2014,"51,135",62,0,9,,10,43,"1,203",142,990,71,1
Greenville,2014,"25,983",143,6,27,,44,66,"1,193",231,906,56,12
Gregory,2014,"1,948",4,1,0,,1,2,14,3,7,4,0
Groesbeck,2014,"4,304",13,0,0,,3,10,62,21,39,2,0
Groves,2014,"15,729",95,0,10,,19,66,494,92,368,34,1
Gun Barrel City,2014,"5,946",8,0,2,,1,5,189,39,138,12,0
Hale Center,2014,"2,193",11,0,0,,0,11,37,17,17,3,1
Hallettsville,2014,"2,605",11,0,2,,0,9,77,16,60,1,0
Hallsville,2014,"3,912",11,0,0,,0,11,28,7,18,3,0
Haltom City,2014,"43,856",108,0,34,,25,49,"1,206",259,832,115,7
Hamlin,2014,"2,042",13,0,0,,0,13,35,13,21,1,0
Harker Heights,2014,"28,484",76,0,12,,27,37,810,158,618,34,4
Harlingen,2014,"65,808",146,0,11,,34,101,"2,059",412,"1,589",58,9
Haskell,2014,"3,304",4,0,0,,1,3,26,4,19,3,0
Hawkins,2014,"1,334",4,2,0,,0,2,32,7,22,3,0
Hawley,2014,608,3,0,2,,1,0,7,0,7,0,0
Hearne,2014,"4,441",76,0,2,,1,73,109,36,70,3,0
Heath,2014,"7,876",4,0,2,,0,2,44,3,41,0,0
Hedwig Village,2014,"2,656",11,1,1,,8,1,204,18,177,9,0
Helotes,2014,"8,295",3,0,2,,0,1,132,20,110,2,0
Hemphill,2014,"1,193",1,0,0,,1,0,19,5,13,1,0
Hempstead,2014,"6,482",68,0,6,,5,57,226,97,121,8,2
Henderson,2014,"13,693",62,0,3,,6,53,474,78,384,12,2
Hereford,2014,"15,158",47,0,7,,7,33,397,101,273,23,0
Hewitt,2014,"14,166",16,0,5,,3,8,140,26,108,6,1
Hickory Creek,2014,"4,175",8,0,0,,5,3,65,5,58,2,0
Hidalgo,2014,"13,446",49,0,5,,2,42,241,36,177,28,0
Highland Park,2014,"8,934",5,0,0,,1,4,211,33,175,3,0
Highland Village,2014,"15,908",7,0,2,,0,5,108,36,67,5,0
Hill Country Village,2014,"1,028",1,0,1,,0,0,43,10,31,2,0
Hillsboro,2014,"8,334",18,0,2,,4,12,319,45,265,9,0
Hitchcock,2014,"7,380",24,0,4,,6,14,165,63,95,7,0
Hollywood Park,2014,"3,229",0,0,0,,0,0,103,41,56,6,0
Hondo,2014,"9,045",33,1,6,,8,18,286,42,234,10,3
Hooks,2014,"2,755",6,0,1,,1,4,26,10,14,2,0
Horizon City,2014,"19,564",9,0,0,,1,8,285,27,249,9,4
Horseshoe Bay,2014,"3,444",13,0,1,,0,12,52,11,38,3,0
Houston,2014,"2,219,933","22,008",242,812,,"10,186","10,768","104,197","21,629","68,125","14,443",716
Howe,2014,"2,610",14,0,1,,0,13,23,7,13,3,0
Hubbard,2014,"1,393",5,0,1,,0,4,3,1,2,0,0
Hudson,2014,"4,717",45,0,7,,2,36,124,38,80,6,0
Hughes Springs,2014,"1,769",4,0,1,,0,3,10,1,7,2,0
Humble,2014,"15,588",106,0,14,,49,43,"1,633",147,"1,332",154,2
Huntington,2014,"2,106",4,0,1,,1,2,63,29,31,3,0
Huntsville,2014,"40,059",211,1,37,,24,149,956,183,718,55,6
Hurst,2014,"38,709",143,2,22,,38,81,"1,705",198,"1,441",66,5
Hutchins,2014,"5,409",11,0,1,,3,7,149,46,83,20,0
Hutto,2014,"20,567",13,0,5,,1,7,159,32,121,6,0
Idalou,2014,"2,320",4,0,4,,0,0,14,5,7,2,0
Ingleside,2014,"9,612",27,0,6,,5,16,254,80,146,28,2
Ingram,2014,"1,810",4,0,2,,0,2,73,12,58,3,0
Iowa Park,2014,"6,404",18,0,2,,1,15,63,12,43,8,0
Irving,2014,"231,708",512,5,36,,175,296,"6,291","1,043","4,676",572,23
Italy,2014,"1,874",3,0,1,,1,1,38,8,28,2,0
Itasca,2014,"1,611",2,0,0,,2,0,7,2,5,0,0
Jacinto City,2014,"10,794",10,0,0,,8,2,296,65,183,48,1
Jacksboro,2014,"4,499",11,1,3,,0,7,89,35,49,5,0
Jacksonville,2014,"14,755",105,0,14,,17,74,615,181,421,13,4
Jamaica Beach,2014,"1,020",0,0,0,,0,0,6,5,1,0,0
Jarrell,2014,"1,047",3,0,0,,0,3,10,0,9,1,0
Jasper,2014,"7,661",37,1,7,,0,29,524,62,457,5,1
Jefferson,2014,"2,043",10,1,0,,1,8,67,21,45,1,0
Jersey Village,2014,"7,919",10,0,0,,5,5,188,60,101,27,0
Johnson City,2014,"1,813",0,0,0,,0,0,4,1,3,0,0
Jones Creek,2014,"2,059",5,0,0,,0,5,10,1,9,0,0
Jonestown,2014,"2,030",7,0,0,,0,7,42,12,29,1,0
Joshua,2014,"5,945",17,0,3,,0,14,104,24,77,3,0
Jourdanton,2014,"4,175",6,0,0,,0,6,4,3,1,0,0
Junction,2014,"2,483",3,1,0,,1,1,32,17,15,0,0
Karnes City,2014,"3,278",8,0,0,,0,8,64,11,52,1,2
Katy,2014,"15,238",44,0,13,,16,15,524,57,438,29,1
Kaufman,2014,"6,971",15,0,2,,6,7,141,14,119,8,0
Keene,2014,"6,072",2,0,0,,0,2,88,33,53,2,0
Keller,2014,"43,711",24,1,7,,0,16,374,58,305,11,0
Kemah,2014,"1,964",13,0,1,,4,8,252,13,237,2,0
Kenedy,2014,"3,469",14,0,0,,2,12,141,28,108,5,0
Kennedale,2014,"7,347",18,1,2,,5,10,186,53,123,10,1
Kermit,2014,"6,222",14,1,1,,0,12,27,12,14,1,1
Kerrville,2014,"22,728",71,1,18,,4,48,589,67,504,18,3
Kilgore,2014,"14,789",51,1,5,,6,39,537,85,403,49,4
Killeen,2014,"139,211",846,10,114,,196,526,"4,703","1,334","3,149",220,38
Kingsville,2014,"26,329",191,0,3,,17,171,977,235,715,27,1
Kirby,2014,"8,356",14,1,0,,4,9,191,62,105,24,1
Kirbyville,2014,"2,137",3,0,0,,0,3,30,4,25,1,0
Kountze,2014,"2,103",12,1,0,,2,9,51,22,26,3,0
Kress,2014,709,0,0,0,,0,0,2,0,2,0,0
Kyle,2014,"32,649",67,0,12,,3,52,517,78,412,27,1
Lacy-Lakeview,2014,"6,655",46,0,6,,6,34,267,62,188,17,3
La Feria,2014,"7,266",9,0,5,,2,2,321,95,224,2,1
Lago Vista,2014,"6,539",14,0,0,,0,14,88,27,56,5,0
La Grange,2014,"4,685",14,0,3,,0,11,74,20,52,2,0
Laguna Vista,2014,"3,231",6,0,0,,1,5,59,17,40,2,0
La Grulla,2014,"1,652",10,0,0,,2,8,14,10,3,1,0
Lake Dallas,2014,"7,389",21,0,2,,0,19,146,29,105,12,0
Lake Jackson,2014,"27,536",35,0,8,,17,10,535,116,403,16,1
Lakeside,2014,"1,378",1,0,0,,0,1,18,5,12,1,0
"Lakeview, Harrison County",2014,"6,434",11,0,1,,0,10,37,10,26,1,0
Lakeway,2014,"13,554",18,0,4,,0,14,132,22,104,6,0
Lake Worth,2014,"4,727",13,0,0,,6,7,603,106,486,11,0
La Marque,2014,"15,303",75,0,6,,24,45,979,208,716,55,1
Lamesa,2014,"9,334",55,0,13,,3,39,374,108,248,18,3
Lampasas,2014,"6,957",23,0,4,,2,17,274,52,216,6,0
La Porte,2014,"34,852",70,0,29,,12,29,584,111,425,48,7
Laredo,2014,"250,994",976,14,99,,196,667,"9,687","1,267","8,144",276,75
La Vernia,2014,"1,209",2,0,0,,0,2,20,2,18,0,0
Lavon,2014,"2,474",0,0,0,,0,0,16,1,15,0,0
League City,2014,"92,790",98,3,30,,26,39,"1,807",317,"1,421",69,0
Leander,2014,"33,112",38,0,10,,1,27,365,45,302,18,3
Leon Valley,2014,"10,961",41,0,8,,14,19,707,98,545,64,0
Levelland,2014,"14,042",61,0,12,,3,46,487,147,324,16,10
Lewisville,2014,"102,439",202,1,37,,55,109,"2,480",425,"1,719",336,7
Lexington,2014,"1,162",5,0,1,,0,4,41,11,28,2,0
Liberty,2014,"8,945",41,0,6,,2,33,387,65,310,12,1
Lindale,2014,"5,450",22,0,2,,2,18,193,40,148,5,0
Linden,2014,"1,978",11,0,0,,1,10,40,21,16,3,0
Little Elm,2014,"34,603",41,0,6,,1,34,289,87,187,15,0
Littlefield,2014,"6,246",17,0,0,,4,13,200,61,135,4,5
Live Oak,2014,"15,160",33,0,8,,2,23,508,36,435,37,0
Livingston,2014,"5,168",32,0,4,,8,20,320,43,263,14,0
Llano,2014,"3,323",1,0,0,,1,0,51,7,42,2,0
Lockhart,2014,"13,185",25,0,3,,7,15,396,75,303,18,1
Lone Star,2014,"1,566",7,0,1,,1,5,43,8,32,3,1
Longview,2014,"81,659",272,2,23,,65,182,"2,942",610,"2,160",172,2
Lorena,2014,"1,730",5,0,2,,0,3,33,14,19,0,0
Los Fresnos,2014,"6,288",19,0,1,,0,18,127,24,102,1,1
Lubbock,2014,"241,826","2,084",12,128,,333,"1,611","10,617","2,288","7,563",766,46
Lufkin,2014,"36,327",157,1,0,,49,107,"2,016",395,"1,554",67,6
Luling,2014,"5,722",31,0,4,,3,24,99,20,75,4,0
Lumberton,2014,"12,228",26,1,6,,0,19,170,29,135,6,0
Lyford,2014,"2,581",4,0,0,,1,3,16,5,11,0,0
Lytle,2014,"2,743",3,0,0,,1,2,118,15,94,9,3
Madisonville,2014,"4,564",17,1,2,,3,11,133,24,107,2,1
Magnolia,2014,"1,587",0,0,0,,0,0,44,9,34,1,0
Malakoff,2014,"2,309",5,0,0,,2,3,52,16,33,3,0
Manor,2014,"6,700",25,0,3,,6,16,249,15,229,5,1
Mansfield,2014,"61,935",59,0,9,,21,29,932,144,739,49,3
Manvel,2014,"6,998",4,1,1,,0,2,87,36,47,4,2
Marble Falls,2014,"6,140",16,0,7,,4,5,367,31,326,10,0
Marlin,2014,"5,792",21,0,4,,2,15,70,18,50,2,0
Marshall,2014,"24,749",153,3,9,,24,117,887,215,643,29,9
Martindale,2014,"1,171",0,0,0,,0,0,5,2,3,0,0
McAllen,2014,"138,122",181,6,18,,68,89,"4,947",411,"4,364",172,17
McGregor,2014,"5,062",18,0,0,,1,17,56,18,36,2,1
McKinney,2014,"152,806",226,3,43,,60,120,"2,828",398,"2,281",149,13
Meadows Place,2014,"4,764",7,0,0,,3,4,102,18,78,6,0
Melissa,2014,"6,513",3,0,0,,0,3,91,16,69,6,1
Memorial Villages,2014,"11,848",4,0,0,,4,0,79,23,56,0,0
Memphis,2014,"2,187",3,0,0,,0,3,24,12,10,2,0
Mercedes,2014,"16,488",102,1,10,,10,81,840,165,639,36,7
Merkel,2014,"2,592",3,0,0,,0,3,31,8,23,0,0
Mesquite,2014,"144,396",432,4,53,,191,184,"5,846","1,176","3,816",854,10
Mexia,2014,"7,438",52,0,5,,5,42,345,52,279,14,2
Midland,2014,"127,344",407,7,36,,65,299,"3,266",597,"2,475",194,5
Midlothian,2014,"20,348",28,0,7,,2,19,342,28,294,20,1
Mineola,2014,"4,558",17,1,1,,1,14,182,25,150,7,0
Mineral Wells,2014,"16,770",44,0,7,,7,30,662,164,467,31,1
Mission,2014,"81,871",95,0,5,,30,60,"2,405",309,"1,964",132,29
Missouri City,2014,"70,853",126,1,17,,35,73,"1,162",207,856,99,4
Monahans,2014,"7,468",16,0,2,,0,14,154,58,87,9,2
Mont Belvieu,2014,"4,662",10,0,5,,0,5,145,14,98,33,0
Montgomery,2014,689,3,0,0,,0,3,23,3,20,0,0
Morgans Point Resort,2014,"4,230",3,0,0,,0,3,46,11,35,0,1
Mount Pleasant,2014,"16,136",78,0,18,,10,50,659,143,495,21,2
Muleshoe,2014,"5,116",0,0,0,,0,0,66,18,45,3,1
Munday,2014,"1,307",0,0,0,,0,0,8,3,2,3,0
Murphy,2014,"19,914",13,2,3,,1,7,149,13,133,3,0
Mustang Ridge,2014,941,0,0,0,,0,0,22,6,16,0,0
Nacogdoches,2014,"34,096",110,3,24,,14,69,"1,221",197,984,40,4
Naples,2014,"1,371",6,0,0,,1,5,24,10,12,2,1
Nash,2014,"3,111",46,1,1,,3,41,78,13,61,4,0
Nassau Bay,2014,"4,108",15,0,6,,5,4,114,19,87,8,0
Navasota,2014,"7,294",107,1,7,,5,94,260,51,191,18,0
Nederland,2014,"17,571",63,0,12,,9,42,439,84,315,40,0
Needville,2014,"3,013",7,0,3,,0,4,19,5,14,0,0
