City,Year,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
Ballinger,2013,"3,738",9,0,,1,1,7,116,58,56,2,0
Bangs,2013,"1,586",0,0,,0,0,0,6,2,2,2,0
Bastrop,2013,"7,447",23,0,,2,7,14,494,36,426,32,3
Bay City,2013,"17,429",60,1,,8,6,45,706,212,485,9,2
Bayou Vista,2013,"1,551",2,0,,1,0,1,25,8,17,0,0
Baytown,2013,"73,709",285,4,,19,126,136,"3,653",916,"2,373",364,14
Beaumont,2013,"118,177","1,225",16,,59,419,731,"6,192","1,922","3,987",283,40
Bedford,2013,"48,513",206,2,16,,35,153,"1,349",244,"1,039",66,2
Bee Cave,2013,"5,172",4,0,2,,0,2,138,5,129,4,0
Beeville,2013,"13,181",30,2,,0,2,26,379,70,294,15,3
Bellaire,2013,"17,617",13,0,,0,9,4,328,47,269,12,2
Bellmead,2013,"9,950",152,0,,15,16,121,"1,180",106,"1,031",43,1
Bellville,2013,"4,136",13,0,,0,1,12,115,26,85,4,0
Belton,2013,"19,734",67,0,,1,6,60,878,152,718,8,1
Benbrook,2013,"22,157",23,1,,1,2,19,499,79,390,30,1
Bertram,2013,"1,359",1,0,,0,0,1,17,6,11,0,0
Beverly Hills,2013,"2,006",10,0,,1,3,6,94,25,63,6,0
Big Sandy,2013,"1,368",0,0,,0,0,0,4,1,3,0,0
Big Spring,2013,"27,640",147,2,,8,19,118,"1,176",308,817,51,3
Bishop,2013,"3,174",3,0,,0,1,2,46,8,37,1,0
Blanco,2013,"1,800",3,0,,0,1,2,42,12,30,0,0
Blue Mound,2013,"2,466",1,0,,1,0,0,25,2,21,2,0
Boerne,2013,"11,857",23,0,,3,1,19,363,25,319,19,0
Bogata,2013,"1,136",12,0,,2,0,10,49,13,32,4,0
Bonham,2013,"10,050",22,0,,13,2,7,282,61,217,4,2
Borger,2013,"13,034",134,0,,0,2,132,519,141,335,43,0
Bovina,2013,"1,841",5,0,,1,0,4,20,8,12,0,0
Bowie,2013,"5,163",11,0,,5,0,6,311,61,242,8,5
Brady,2013,"5,560",8,0,,0,0,8,127,37,87,3,0
Brazoria,2013,"3,054",16,0,,3,2,11,67,15,46,6,0
Breckenridge,2013,"5,638",9,0,,6,0,3,90,18,67,5,1
Brenham,2013,"16,268",68,1,,11,10,46,430,88,330,12,4
Bridge City,2013,"7,926",12,0,,3,2,7,118,29,85,4,0
Brookshire,2013,"4,784",20,0,,1,3,16,91,25,59,7,2
Brookside Village,2013,"1,548",4,0,,1,1,2,9,4,4,1,0
Brownfield,2013,"9,636",39,2,,1,3,33,194,72,115,7,2
Brownsville,2013,"181,590",473,1,,61,136,275,"7,838","1,140","6,441",257,9
Brownwood,2013,"18,873",61,0,,11,7,43,828,155,647,26,0
Bryan,2013,"78,578",358,2,,31,75,250,"2,311",539,"1,683",89,24
Buda,2013,"10,098",9,0,,1,3,5,252,17,221,14,0
Bullard,2013,"2,638",1,0,,0,0,1,45,4,40,1,0
Bulverde,2013,"4,783",5,0,,0,0,5,58,12,44,2,0
Burkburnett,2013,"10,829",34,0,,6,2,26,311,75,228,8,0
Burleson,2013,"39,714",57,0,,10,10,37,"1,003",162,786,55,3
Burnet,2013,"6,075",26,0,,6,2,18,118,30,80,8,0
Cactus,2013,"3,241",21,0,,0,2,19,35,17,14,4,2
Caddo Mills,2013,"1,375",0,0,,0,0,0,39,18,17,4,0
Caldwell,2013,"4,175",8,1,,0,0,7,25,1,22,2,0
Calvert,2013,"1,177",5,0,,1,0,4,18,8,9,1,0
Cameron,2013,"5,367",17,0,,1,3,13,197,49,147,1,0
Canyon,2013,"14,026",16,0,,1,3,12,115,13,95,7,1
Carrollton,2013,"127,459",185,1,,6,73,105,"2,960",706,"2,048",206,10
Carthage,2013,"6,918",40,0,,8,3,29,366,91,263,12,0
Castle Hills,2013,"4,273",6,0,,0,4,2,335,42,284,9,0
Castroville,2013,"2,754",5,0,,2,1,2,44,8,35,1,1
Cedar Hill,2013,"46,918",89,1,,9,34,45,"1,506",299,"1,137",70,5
Cedar Park,2013,"59,948",69,0,,5,8,56,851,113,710,28,0
Celina,2013,"6,786",7,1,,2,0,4,56,17,38,1,0
Center,2013,"5,328",39,1,,2,4,32,235,39,183,13,2
Chillicothe,2013,697,0,0,,0,0,0,9,3,5,1,1
Cibolo,2013,"21,690",16,0,,3,3,10,233,44,181,8,1
Cisco,2013,"3,837",5,0,,1,0,4,189,67,119,3,2
Clarksville,2013,"3,229",33,0,,0,5,28,61,24,36,1,0
Cleburne,2013,"29,327",88,0,19,,11,58,977,214,720,43,0
Cleveland,2013,"7,635",69,0,,6,6,57,687,93,548,46,8
Clifton,2013,"3,411",2,0,,0,0,2,38,12,26,0,
Clint,2013,923,0,0,,0,0,0,8,0,7,1,0
Clyde,2013,"3,706",3,0,,0,0,3,59,21,36,2,1
Cockrell Hill,2013,"4,317",21,0,,2,8,11,105,31,62,12,2
Coleman,2013,"4,544",10,0,,0,0,10,183,94,85,4,1
College Station,2013,"98,919",379,0,,34,37,308,"2,230",432,"1,750",48,0
Colleyville,2013,"24,289",9,0,,0,4,5,174,39,131,4,0
Collinsville,2013,"1,631",1,0,,0,0,1,19,11,8,0,0
Colorado City,2013,"4,084",34,0,,0,1,33,125,43,79,3,0
Columbus,2013,"3,611",6,1,,0,0,5,101,14,80,7,1
Comanche,2013,"4,234",19,0,,1,0,18,135,33,102,0,0
Combes,2013,"3,035",3,0,,1,0,2,33,10,20,3,0
Commerce,2013,"8,267",28,0,,9,7,12,212,61,138,13,1
Conroe,2013,"62,962",216,1,29,,60,126,"2,071",416,"1,550",105,1
Converse,2013,"20,115",124,0,,10,9,105,460,69,368,23,4
Coppell,2013,"40,449",17,0,,3,2,12,580,100,450,30,1
Copperas Cove,2013,"33,780",95,0,,14,18,63,"1,127",243,863,21,10
Corinth,2013,"20,692",14,0,,3,4,7,230,38,179,13,0
Corpus Christi,2013,"314,523","1,939",18,,147,390,"1,384","14,601","2,595","11,519",487,46
Corrigan,2013,"1,559",6,0,,1,0,5,62,14,45,3,0
Corsicana,2013,"23,940",121,1,,23,25,72,"1,209",303,879,27,2
Crandall,2013,"3,016",7,0,,0,0,7,54,22,27,5,1
Crane,2013,"3,563",5,0,,2,0,3,9,1,6,2,0
Crockett,2013,"6,595",25,0,,0,3,22,310,56,249,5,1
Crosbyton,2013,"1,758",3,1,,2,0,0,27,8,19,0,0
Crowell,2013,921,0,0,,0,0,0,0,0,0,0,0
Crowley,2013,"13,804",14,1,,0,4,9,360,89,256,15,0
Cuero,2013,"7,011",83,0,,7,1,75,261,49,207,5,0
Cumby,2013,789,2,0,,0,0,2,7,2,2,3,1
Daingerfield,2013,"2,513",10,0,,0,1,9,140,34,104,2,2
Dalhart,2013,"8,340",53,0,,2,0,51,174,49,121,4,0
Dallas,2013,"1,255,015","8,330",143,,543,"4,202","3,442","52,274","14,516","30,374","7,384",455
Dalworthington Gardens,2013,"2,337",1,0,,0,1,0,37,10,17,10,0
Danbury,2013,"1,730",1,0,,1,0,0,8,4,4,0,0
Dayton,2013,"7,361",24,0,,4,4,16,224,55,142,27,
Decatur,2013,"6,244",17,0,,4,6,7,291,10,267,14,0
De Kalb,2013,"1,663",4,0,,0,0,4,54,25,26,3,0
De Leon,2013,"2,205",4,0,,0,0,4,46,16,29,1,0
Del Rio,2013,"35,499",72,0,,0,14,58,768,119,632,17,2
Denison,2013,"22,652",94,4,11,,15,64,844,145,646,53,0
Denton,2013,"123,260",338,1,93,,52,192,"2,777",472,"2,203",102,17
Denver City,2013,"4,625",5,1,,2,0,2,76,30,39,7,1
Desoto,2013,"51,703",179,5,,14,64,96,"1,727",475,"1,174",78,4
Diboll,2013,"5,390",6,0,,4,0,2,75,17,57,1,0
Dickinson,2013,"19,204",37,1,,3,7,26,592,159,393,40,1
Dilley,2013,"4,023",6,0,,0,1,5,81,30,46,5,2
Dimmitt,2013,"4,500",15,0,,0,2,13,138,47,80,11,0
Donna,2013,"16,320",154,0,,3,19,132,"1,068",267,727,74,2
Double Oak,2013,"2,993",1,0,,0,0,1,19,4,14,1,0
Driscoll,2013,751,1,0,,0,0,1,3,2,1,0,0
Dublin,2013,"3,710",2,0,,0,0,2,75,24,48,3,1
Dumas,2013,"15,074",50,1,,10,3,36,328,53,260,15,7
Duncanville,2013,"39,811",146,1,,7,96,42,"1,358",322,892,144,3
Eagle Pass,2013,"27,578",29,2,,0,3,24,870,171,688,11,1
Early,2013,"2,785",27,0,,3,1,23,65,17,48,0,0
Eastland,2013,"3,912",9,0,,0,1,8,154,33,117,4,0
East Mountain,2013,801,5,0,,0,0,5,13,11,1,1,0
Edcouch,2013,"3,213",9,0,,1,1,7,87,38,48,1,2
Edinburg,2013,"82,271",277,1,,30,50,196,"4,292",738,"3,299",255,8
Edna,2013,"5,598",12,1,2,,1,8,130,16,112,2,0
El Campo,2013,"11,525",54,0,,7,7,40,330,52,269,9,1
Electra,2013,"2,762",5,0,,1,1,3,35,13,20,2,0
Elgin,2013,"8,259",21,1,,2,1,17,164,50,103,11,0
El Paso,2013,"679,700","2,522",10,,176,457,"1,879","15,558","1,771","12,993",794,73
Elsa,2013,"6,493",18,0,,0,2,16,286,62,208,16,3
Ennis,2013,"18,679",61,0,,1,9,51,723,123,578,22,5
Euless,2013,"53,236",89,0,,4,39,46,"1,568",252,"1,177",139,6
Everman,2013,"6,276",26,0,,0,3,23,185,55,121,9,0
Fairfield,2013,"2,874",4,0,,0,0,4,30,10,18,2,0
Fair Oaks Ranch,2013,"6,437",1,0,,0,0,1,30,15,13,2,0
Falfurrias,2013,"4,919",9,1,,0,1,7,109,53,56,0,0
Farmers Branch,2013,"29,609",65,0,,10,26,29,"1,055",200,749,106,3
Farmersville,2013,"3,448",7,0,,2,0,5,120,30,86,4,0
Farwell,2013,"1,347",3,0,,0,1,2,14,1,12,1,0
Ferris,2013,"2,498",11,1,,3,1,6,59,14,41,4,0
Flatonia,2013,"1,398",2,0,,1,0,1,14,1,11,2,0
Florence,2013,"1,213",0,0,,0,0,0,5,0,5,0,0
Floresville,2013,"6,882",13,0,,0,0,13,273,38,221,14,0
Flower Mound,2013,"68,835",39,1,2,,5,31,491,86,384,21,5
Floydada,2013,"2,991",11,0,,1,0,10,60,27,31,2,0
Forney,2013,"16,257",19,0,4,,2,13,308,91,184,33,1
Fort Stockton,2013,"8,357",58,0,,15,3,40,316,68,242,6,0
Fort Worth,2013,"789,035","4,420",48,523,,"1,256","2,593","34,272","8,316","23,557","2,399",155
Frankston,2013,"1,229",3,0,,0,2,1,47,15,31,1,0
Fredericksburg,2013,"10,768",9,0,,0,3,6,255,57,195,3,0
Freeport,2013,"12,090",28,0,,2,8,18,469,122,323,24,3
Freer,2013,"2,769",28,0,,1,5,22,88,25,61,2,1
Friendswood,2013,"37,226",11,0,,1,2,8,418,88,313,17,0
Friona,2013,"4,066",1,0,,0,0,1,21,8,12,1,0
Frisco,2013,"131,769",100,0,21,,22,57,"2,507",374,"2,075",58,15
Fulton,2013,"1,417",3,0,,0,2,1,55,25,28,2,0
Gainesville,2013,"16,089",89,2,,9,14,64,898,197,642,59,5
Galena Park,2013,"11,097",18,0,,6,8,4,232,59,146,27,1
Galveston,2013,"48,067",236,3,,56,93,84,"2,335",439,"1,707",189,6
Garden Ridge,2013,"3,573",1,0,,0,0,1,29,9,20,0,0
Garland,2013,"235,683",514,6,,53,237,218,"8,371","2,053","5,671",647,30
Gatesville,2013,"16,072",22,0,,4,3,15,161,39,109,13,1
Georgetown,2013,"53,844",71,1,17,,7,46,767,93,642,32,1
Giddings,2013,"4,912",15,0,,7,1,7,167,35,129,3,0
Gilmer,2013,"5,104",36,1,,2,2,31,205,22,172,11,0
Gladewater,2013,"6,503",43,0,,2,7,34,312,70,224,18,0
Glenn Heights,2013,"11,853",30,0,,1,4,25,262,105,144,13,1
Godley,2013,"1,035",2,0,,0,0,2,18,7,11,0,0
Gonzales,2013,"7,324",105,1,,16,6,82,329,69,255,5,0
Gorman,2013,"1,071",3,0,,0,0,3,43,18,23,2,1
Graham,2013,"8,773",18,0,,2,2,14,386,79,293,14,1
Granbury,2013,"8,464",21,0,,8,0,13,589,58,518,13,0
Grand Prairie,2013,"183,822",511,11,,54,155,291,"5,158","1,120","3,448",590,16
Grand Saline,2013,"3,114",2,0,,0,0,2,76,21,55,0,0
Granger,2013,"1,501",1,0,,0,0,1,4,2,2,0,0
Granite Shoals,2013,"4,945",7,1,,1,0,5,54,16,29,9,2
Grapeland,2013,"1,439",2,0,,0,0,2,26,10,16,0,0
Grapevine,2013,"49,075",88,1,,7,20,60,"1,554",182,"1,270",102,2
Greenville,2013,"25,895",204,0,,15,56,133,"1,279",266,948,65,5
Gregory,2013,"1,914",2,0,,1,1,0,28,9,16,3,0
Groesbeck,2013,"4,348",2,0,,0,0,2,53,15,35,3,0
Groves,2013,"15,725",79,0,,8,17,54,523,130,364,29,0
Gun Barrel City,2013,"5,785",12,1,,1,0,10,199,50,134,15,0
Hale Center,2013,"2,246",5,0,,0,0,5,62,35,26,1,1
Hallettsville,2013,"2,592",17,0,,1,2,14,61,15,42,4,0
Hallsville,2013,"3,924",8,0,,0,0,8,46,12,32,2,0
Haltom City,2013,"43,676",110,2,,11,34,63,"1,455",391,943,121,7
Hamlin,2013,"2,037",19,0,,0,0,19,48,12,34,2,1
Harker Heights,2013,"28,125",90,0,,8,25,57,950,226,687,37,1
Harlingen,2013,"65,885",264,2,,21,59,182,"2,584",496,"2,012",76,11
Haskell,2013,"3,323",3,0,,0,0,3,18,8,9,1,0
Hawkins,2013,"1,282",0,0,,0,0,0,47,16,27,4,0
Hawley,2013,610,1,0,,0,0,1,17,9,6,2,0
Hearne,2013,"4,443",47,0,,1,3,43,114,31,81,2,1
Heath,2013,"7,733",1,0,0,,0,1,55,5,49,1,0
Hedwig Village,2013,"2,643",6,0,,0,4,2,208,19,175,14,0
Helotes,2013,"8,054",4,0,,1,2,1,116,19,94,3,0
Hemphill,2013,"1,200",1,0,,0,0,1,34,5,25,4,0
Hempstead,2013,"6,187",18,0,,0,8,10,219,72,134,13,0
Henderson,2013,"13,837",96,1,2,,12,81,647,77,545,25,2
Hereford,2013,"15,327",55,0,,6,9,40,474,173,283,18,2
Hewitt,2013,"13,944",14,2,,0,1,11,127,30,90,7,0
Hickory Creek,2013,"3,493",7,0,,2,2,3,108,2,97,9,0
Highland Park,2013,"8,900",5,0,1,,3,1,160,33,116,11,0
Highland Village,2013,"15,754",8,0,,0,0,8,112,12,99,1,0
Hill Country Village,2013,"1,016",0,0,,0,0,0,41,6,32,3,0
Hillsboro,2013,"8,377",30,0,,1,5,24,343,50,282,11,1
Hitchcock,2013,"7,250",29,1,,3,4,21,234,82,129,23,0
Hollywood Park,2013,"3,168",0,0,,0,0,0,76,13,62,1,0
Hondo,2013,"8,925",22,0,,5,1,16,234,30,198,6,0
Hooks,2013,"2,731",7,1,,1,1,4,38,15,22,1,0
Horizon City,2013,"19,439",13,0,,0,4,9,266,59,187,20,2
Horseshoe Bay,2013,"3,334",5,0,,1,0,4,75,12,57,6,0
Houston,2013,"2,180,606","20,993",214,,618,"9,891","10,270","110,919","23,733","73,591","13,595",708
Howe,2013,"2,602",6,0,,1,0,5,18,6,10,2,0
Hubbard,2013,"1,416",0,0,,0,0,0,15,4,9,2,0
Hudson,2013,"4,750",27,0,,0,1,26,86,30,56,0,0
Hughes Springs,2013,"1,727",1,0,,0,0,1,18,15,2,1,2
Humble,2013,"15,473",95,0,,12,45,38,"1,624",273,"1,239",112,1
Huntington,2013,"2,102",4,0,,3,0,1,44,15,27,2,0
Huntsville,2013,"39,990",213,0,,22,22,169,"1,078",241,798,39,0
Hurst,2013,"38,456",205,1,,6,47,151,"1,978",222,"1,700",56,2
Hutchins,2013,"5,439",8,0,,2,1,5,192,42,122,28,1
Hutto,2013,"19,513",8,0,,5,2,1,164,28,131,5,1
Idalou,2013,"2,264",6,0,,0,0,6,20,8,11,1,0
Ingleside,2013,"9,541",32,1,,4,2,25,270,74,175,21,5
Ingram,2013,"1,805",5,0,,3,0,2,52,10,40,2,0
Iowa Park,2013,"6,408",13,0,2,,1,10,63,22,40,1,2
Irving,2013,"228,367",530,2,,24,186,318,"6,175","1,137","4,444",594,17
Jacksboro,2013,"4,487",13,0,,0,1,12,102,38,61,3,0
Jacksonville,2013,"14,816",111,0,,13,11,87,601,158,431,12,8
Jamaica Beach,2013,"1,006",0,0,,0,0,0,1,1,0,0,0
Jarrell,2013,"1,051",0,0,,0,0,0,11,0,10,1,0
Jasper,2013,"7,702",31,0,,6,3,22,484,79,404,1,1
Jefferson,2013,"2,057",13,0,,0,1,12,60,16,42,2,0
Jersey Village,2013,"7,845",38,0,,0,9,29,218,44,158,16,2
Johnson City,2013,"1,733",2,0,,0,0,2,10,1,9,0,0
Jones Creek,2013,"2,067",0,0,,0,0,0,2,0,2,0,0
Jonestown,2013,"2,024",9,0,,0,2,7,43,7,35,1,0
Joshua,2013,"5,966",15,0,,1,0,14,102,25,69,8,1
Jourdanton,2013,"4,111",2,0,,0,0,2,4,0,4,0,0
Junction,2013,"2,539",6,0,,0,0,6,36,11,25,0,0
Karnes City,2013,"3,201",6,0,,0,0,6,76,20,55,1,0
Katy,2013,"14,837",38,2,7,,12,17,490,63,398,29,1
Kaufman,2013,"6,865",12,1,,0,5,6,123,48,68,7,0
Keene,2013,"6,071",4,0,,0,0,4,109,26,77,6,2
Keller,2013,"42,644",27,1,,5,9,12,390,76,312,2,0
Kenedy,2013,"3,423",8,0,,0,0,8,219,64,152,3,0
Kennedale,2013,"7,156",11,0,,0,6,5,177,40,117,20,0
Kermit,2013,"5,956",18,0,,0,0,18,31,6,19,6,0
Kerrville,2013,"22,484",48,3,,7,8,30,669,90,555,24,0
Kilgore,2013,"13,938",53,2,,9,5,37,660,116,510,34,2
Killeen,2013,"136,539",753,6,,78,170,499,"4,791","1,396","3,189",206,50
Kingsville,2013,"26,198",103,1,,3,19,80,963,281,658,24,2
Kirby,2013,"8,288",49,3,,1,3,42,188,50,118,20,2
Kirbyville,2013,"2,158",5,0,,0,0,5,32,9,20,3,0
Kountze,2013,"2,088",11,0,,0,1,10,46,13,32,1,0
Kress,2013,721,0,0,,0,0,0,2,0,2,0,0
Kyle,2013,"31,732",90,0,,12,6,72,491,75,384,32,1
Lacy-Lakeview,2013,"6,566",38,0,,8,4,26,247,72,161,14,2
La Feria,2013,"7,340",7,0,,3,2,2,305,98,207,0,0
Lago Vista,2013,"6,550",14,1,,1,1,11,85,16,69,0,0
La Grange,2013,"4,656",4,1,,0,0,3,58,15,36,7,0
La Grulla,2013,"1,639",5,0,,0,0,5,9,8,1,0,0
Laguna Vista,2013,"3,179",4,0,,0,0,4,48,15,31,2,0
La Joya,2013,"4,153",6,0,,0,0,6,27,23,4,0,0
Lake Dallas,2013,"7,390",15,0,,1,0,14,142,24,106,12,1
Lake Jackson,2013,"27,273",40,1,,9,12,18,589,125,445,19,2
Lakeside,2013,"1,357",7,0,,0,1,6,29,12,15,2,0
"Lakeview, Harris County",2013,"6,413",10,1,,0,0,9,71,16,52,3,4
Lakeway,2013,"12,815",16,0,,2,2,12,166,25,131,10,0
Lake Worth,2013,"4,710",14,0,,0,8,6,527,124,387,16,0
La Marque,2013,"14,976",70,1,,5,26,38,960,161,748,51,3
Lamesa,2013,"9,136",44,0,,5,1,38,414,96,298,20,3
Lampasas,2013,"6,899",20,0,,3,2,15,286,48,232,6,1
Lancaster,2013,"38,209",179,2,23,,59,95,"1,533",533,848,152,6
La Porte,2013,"34,671",40,0,,12,9,19,593,117,433,43,7
Laredo,2013,"247,353","1,027",3,,75,207,742,"10,482","1,425","8,685",372,82
La Vernia,2013,"1,137",3,0,,0,0,3,44,2,42,0,0
La Villa,2013,"1,978",0,0,,0,0,0,17,13,3,1,0
Lavon,2013,"2,318",1,0,,0,0,1,17,3,14,0,0
League City,2013,"89,596",96,2,,14,22,58,"1,918",386,"1,476",56,1
Leander,2013,"30,657",26,0,,2,4,20,336,44,277,15,2
Leon Valley,2013,"10,833",26,0,,7,9,10,826,91,670,65,0
Levelland,2013,"13,681",67,0,,13,8,46,546,160,362,24,1
Lewisville,2013,"100,710",243,1,48,,74,120,"2,721",501,"1,921",299,4
Lexington,2013,"1,170",6,0,,2,0,4,61,15,46,0,0
Liberty,2013,"8,857",46,1,,10,7,28,553,92,447,14,1
Lindale,2013,"5,257",16,0,2,,6,8,186,45,132,9,0
Linden,2013,"1,964",6,0,,2,1,3,52,17,34,1,0
Little Elm,2013,"29,958",48,1,,19,6,22,346,78,255,13,2
Littlefield,2013,"6,368",30,0,,0,6,24,239,93,143,3,5
Live Oak,2013,"14,541",45,1,,7,10,27,680,48,580,52,1
Livingston,2013,"5,207",43,0,,5,7,31,309,37,262,10,1
Llano,2013,"3,249",0,0,0,,0,0,77,29,43,5,1
Lockhart,2013,"12,971",45,1,,7,5,32,425,91,322,12,1
Lone Star,2013,"1,553",6,0,,1,2,3,61,16,43,2,0
Longview,2013,"81,273",451,5,39,,152,255,"3,372",630,"2,542",200,11
Lorena,2013,"1,709",1,0,,0,0,1,28,6,20,2,0
Lorenzo,2013,"1,180",2,0,,0,0,2,8,7,1,0,0
Los Fresnos,2013,"5,800",7,0,,3,0,4,158,47,106,5,1
Lubbock,2013,"237,875","1,829",5,,88,388,"1,348","11,557","2,608","8,103",846,37
Luling,2013,"5,612",29,0,,3,5,21,108,18,85,5,0
Lumberton,2013,"12,081",25,0,7,,4,14,244,46,193,5,0
Lyford,2013,"2,611",1,0,,0,0,1,44,18,22,4,0
Lytle,2013,"2,665",0,0,,0,0,0,176,19,153,4,2
Madisonville,2013,"4,452",17,0,,0,2,15,113,23,81,9,0
Magnolia,2013,"1,490",9,0,,0,4,5,43,9,31,3,0
Malakoff,2013,"2,327",13,0,,0,0,13,62,19,38,5,0
Manor,2013,"6,137",15,0,,3,0,12,95,22,68,5,1
Mansfield,2013,"60,179",80,1,,16,23,40,"1,042",181,812,49,0
Manvel,2013,"6,381",6,0,,0,0,6,110,54,44,12,0
Marble Falls,2013,"6,095",28,0,9,,4,15,362,40,313,9,1
Marlin,2013,"5,847",17,0,,2,2,13,47,18,26,3,1
Marshall,2013,"25,169",141,3,,18,16,104,"1,078",242,792,44,8
Martindale,2013,"1,145",4,0,,0,0,4,6,4,1,1,0
Mathis,2013,"4,989",25,0,,2,0,23,135,44,85,6,0
McAllen,2013,"136,169",171,2,,6,83,80,"5,424",536,"4,652",236,15
McGregor,2013,"5,036",7,0,,1,1,5,76,14,60,2,0
McKinney,2013,"146,869",207,1,52,,44,110,"3,055",476,"2,450",129,26
Meadows Place,2013,"4,721",7,0,,0,4,3,126,23,93,10,0
Melissa,2013,"5,839",1,1,,0,0,0,65,20,41,4,0
Memorial Villages,2013,"11,660",5,0,,2,2,1,113,26,81,6,0
Memphis,2013,"2,232",6,0,,1,0,5,25,8,15,2,0
Mercedes,2013,"16,480",106,0,,5,13,88,796,132,623,41,1
Meridian,2013,"1,484",0,0,,0,0,0,1,0,1,0,0
Merkel,2013,"2,608",5,0,,0,0,5,34,14,18,2,0
Mesquite,2013,"144,313",402,6,,14,204,178,"6,332","1,382","4,184",766,11
Mexia,2013,"7,544",42,1,,2,6,33,328,77,248,3,1
Midland,2013,"122,259",350,5,,22,63,260,"3,191",568,"2,459",164,1
Midlothian,2013,"19,425",25,0,,3,5,17,361,70,275,16,1
Mineola,2013,"4,485",19,0,,0,3,16,188,31,154,3,0
Mineral Wells,2013,"16,717",55,0,,5,16,34,872,221,610,41,2
Mission,2013,"81,360",72,0,,4,32,36,"2,945",447,"2,321",177,20
Missouri City,2013,"69,487",72,0,,5,35,32,"1,151",186,889,76,0
Monahans,2013,"7,163",30,0,,3,1,26,185,57,127,1,3
Mont Belvieu,2013,"4,366",9,0,,2,1,6,121,12,84,25,0
Montgomery,2013,670,1,0,,0,0,1,16,5,10,1,0
Morgans Point Resort,2013,"4,257",2,0,,0,0,2,40,14,26,0,0
Moulton,2013,898,1,0,,0,0,1,10,3,7,0,0
Mount Pleasant,2013,"16,101",41,0,,0,8,33,661,155,486,20,7
Muleshoe,2013,"5,121",4,0,,0,0,4,51,10,39,2,0
Munday,2013,"1,331",2,0,,0,0,2,10,3,6,1,0
Murphy,2013,"19,347",4,0,0,,1,3,122,11,111,0,0
Mustang Ridge,2013,939,0,0,,0,0,0,16,4,10,2,0
Nacogdoches,2013,"34,413",97,1,,3,31,62,"1,126",257,828,41,2
Naples,2013,"1,357",1,0,,0,0,1,50,31,18,1,0
Nash,2013,"3,076",9,0,,0,0,9,67,25,39,3,1
Nassau Bay,2013,"4,092",17,0,,3,1,13,101,18,77,6,0
Navasota,2013,"7,239",77,0,,1,2,74,219,53,143,23,2
Nederland,2013,"17,464",58,2,,4,11,41,493,112,349,32,3
Needville,2013,"2,879",11,0,,1,0,10,22,6,15,1,0
New Boston,2013,"4,507",9,0,,1,1,7,221,53,161,7,0
New Braunfels,2013,"61,651",147,3,,16,24,104,"2,153",351,"1,673",129,11
Nocona,2013,"2,996",2,0,,1,1,0,25,9,13,3,0
Nolanville,2013,"4,483",22,0,,0,1,21,76,21,55,0,1
Northlake,2013,"1,897",7,0,,1,0,6,36,6,27,3,1
North Richland Hills,2013,"65,899",157,1,,21,35,100,"1,637",283,"1,276",78,3
