State,Year,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Portland,2018,"16,849",26,1,7,8,10,415,41,365,9,1
Port Lavaca,2018,"12,432",85,1,17,3,64,235,72,140,23,1
Port Mansfield,2018,233,0,0,0,0,0,15,0,15,0,0
Port Neches,2018,"12,775",50,1,8,2,39,208,41,141,26,0
Poteet,2018,"3,476",9,0,1,1,7,112,28,71,13,2
Poth,2018,"2,266",0,0,0,0,0,14,4,8,2,0
Pottsboro,2018,"2,330",3,0,0,0,3,6,0,6,0,0
Prairie View,2018,"6,597",12,1,0,1,10,25,11,13,1,0
Premont,2018,"2,622",5,0,0,0,5,47,21,24,2,3
Presidio,2018,"3,882",2,0,1,0,1,9,1,7,1,0
Primera,2018,"4,860",2,0,0,0,2,33,3,29,1,0
Princeton3,2018,"9,934",34,1,8,1,24,199,16,178,5,4
Prosper,2018,"20,442",14,1,3,3,7,229,67,155,7,0
Queen City,2018,"1,464",8,0,1,2,5,17,3,12,2,0
Quitman,2018,"1,849",1,0,0,0,1,31,6,24,1,0
Ralls,2018,"1,898",0,0,0,0,0,3,1,2,0,0
Rancho Viejo,2018,"2,504",1,0,0,0,1,17,5,12,0,0
Ranger,2018,"2,454",24,0,2,0,22,35,14,18,3,2
Raymondville,2018,"11,151",76,0,6,4,66,389,124,259,6,3
Red Oak,2018,"12,833",17,0,0,9,8,364,78,262,24,0
Refugio,2018,"2,875",3,0,0,0,3,5,4,1,0,0
Reno,2018,"3,324",4,0,0,1,3,36,1,31,4,0
Richardson,2018,"115,824",193,3,25,97,68,"2,295",389,"1,717",189,5
Richland Hills,2018,"8,176",24,0,5,3,16,268,42,198,28,0
Richmond,2018,"12,174",42,0,6,13,23,211,45,157,9,0
Richwood,2018,"3,965",7,0,1,0,6,39,9,27,3,0
Riesel,2018,"1,019",2,0,0,0,2,8,1,7,0,0
Rio Bravo,2018,"4,738",0,0,0,0,0,0,0,0,0,0
Rio Grande City,2018,"14,592",25,0,1,4,20,191,37,115,39,3
Rio Hondo,2018,"2,650",2,0,0,0,2,34,9,23,2,0
River Oaks,2018,"7,793",6,1,0,2,3,134,26,91,17,0
Roanoke,2018,"8,145",10,0,0,3,7,144,14,119,11,0
Robinson,2018,"11,653",33,0,0,1,32,127,22,100,5,1
Robstown,2018,"11,524",103,2,2,7,92,442,149,281,12,2
Rockdale3,2018,"5,647",20,1,3,0,16,167,41,118,8,0
Rockport,2018,"10,870",21,0,5,0,16,430,115,291,24,0
Rockwall,2018,"44,599",48,0,15,5,28,796,70,675,51,0
Rollingwood,2018,"1,588",0,0,0,0,0,12,2,10,0,0
Roma,2018,"10,345",19,0,2,0,17,128,26,80,22,0
Roman Forest,2018,"1,927",0,0,0,0,0,12,4,6,2,0
Rosenberg,2018,"37,822",126,1,29,36,60,556,119,378,59,0
Round Rock,2018,"124,617",169,2,33,44,90,"2,701",232,"2,405",64,4
Rowlett,2018,"62,998",141,1,20,23,97,"1,081",133,877,71,1
Royse City,2018,"12,599",19,1,3,0,15,125,14,100,11,0
Runaway Bay,2018,"1,499",0,0,0,0,0,3,2,0,1,0
Rusk,2018,"5,576",11,0,1,1,9,82,19,61,2,1
Sabinal,2018,"1,711",2,0,0,0,2,24,1,23,0,1
Sachse,2018,"25,907",13,0,10,1,2,290,45,223,22,0
Saginaw,2018,"22,994",31,0,2,8,21,524,61,404,59,1
Salado,2018,"2,160",2,0,0,0,2,23,6,13,4,0
San Angelo,2018,"101,931",282,3,74,40,165,"4,499",802,"3,425",272,10
San Antonio,2018,"1,520,712","10,759",124,"1,270","2,298","7,067","73,676","11,722","55,090","6,864",207
San Augustine,2018,"1,895",4,0,0,0,4,2,1,0,1,0
San Benito,2018,"24,503",76,0,52,4,20,910,156,729,25,1
San Diego,2018,"4,369",6,0,0,2,4,6,5,1,0,0
Sanger,2018,"8,175",18,2,4,0,12,84,22,57,5,0
San Juan,2018,"37,114",157,1,24,21,111,873,110,712,51,1
San Marcos,2018,"65,327",222,5,50,47,120,"1,511",278,"1,064",169,8
San Saba,2018,"3,071",5,0,0,0,5,23,10,10,3,0
Sansom Park Village,2018,"4,904",3,0,0,0,3,126,45,71,10,0
Santa Anna,2018,"1,037",2,0,0,1,1,5,4,1,0,0
Santa Fe,2018,"13,347",12,0,3,3,6,179,42,119,18,1
Santa Rosa,2018,"2,848",0,0,0,0,0,16,4,10,2,0
Schertz,2018,"40,830",99,0,20,15,64,695,115,523,57,0
Schulenburg,2018,"2,943",34,0,2,1,31,42,4,33,5,0
Seabrook,2018,"13,958",23,0,4,8,11,142,34,94,14,0
Seagoville,2018,"16,290",20,1,0,8,11,393,69,245,79,2
Seagraves,2018,"2,892",6,0,0,0,6,30,15,14,1,0
Sealy,2018,"6,555",22,0,0,4,18,119,35,69,15,0
Seguin,2018,"29,132",112,1,33,17,61,990,174,789,27,1
Selma,2018,"11,117",21,0,2,10,9,328,35,266,27,0
Seminole3,2018,"7,795",41,1,4,1,35,109,13,88,8,0
Seven Points,2018,"1,462",9,0,1,2,6,60,11,43,6,0
Seymour3,2018,"2,717",8,0,0,1,7,18,6,10,2,0
Shallowater,2018,"2,560",0,0,0,0,0,36,24,5,7,0
Shamrock,2018,"1,953",0,0,0,0,0,8,3,5,0,0
Shavano Park,2018,"3,801",1,0,0,1,0,36,6,28,2,0
Shenandoah3,2018,"3,019",11,0,2,5,4,203,11,167,25,0
Sherman,2018,"42,122",158,2,20,35,101,"1,306",287,942,77,3
Shiner,2018,"2,148",6,0,0,0,6,7,4,3,0,0
Shoreacres,2018,"1,617",0,0,0,0,0,9,2,7,0,0
Sinton,2018,"5,614",45,0,5,4,36,231,47,170,14,0
Slaton,2018,"6,051",16,0,1,1,14,127,44,70,13,0
Smithville,2018,"4,288",9,0,0,2,7,73,16,55,2,0
Socorro,2018,"33,473",48,0,6,7,35,293,38,233,22,1
Somerset,2018,"1,836",2,0,0,1,1,21,6,13,2,0
Sonora,2018,"2,812",4,0,4,0,0,28,5,23,0,0
Sour Lake,2018,"1,835",4,0,0,0,4,27,5,19,3,0
South Houston3,2018,"17,537",57,0,3,25,29,460,71,283,106,1
Southlake,2018,"31,778",21,0,2,4,15,372,56,311,5,0
South Padre Island,2018,"2,881",52,0,16,8,28,416,33,369,14,0
Southside Place,2018,"1,857",2,0,0,1,1,23,3,20,0,0
Spearman,2018,"3,332",2,0,0,0,2,6,5,1,0,0
Splendora,2018,"2,026",2,0,0,0,2,16,7,5,4,0
Springtown,2018,"2,907",8,0,1,0,7,52,10,42,0,1
Spring Valley,2018,"4,312",4,0,0,2,2,72,4,64,4,0
Spur,2018,"1,177",6,0,0,0,6,7,7,0,0,0
Stafford,2018,"18,530",121,1,7,41,72,828,118,656,54,1
Stagecoach,2018,612,0,0,0,0,0,0,0,0,0,0
Stamford,2018,"2,961",13,0,0,1,12,55,17,35,3,1
Stephenville,2018,"21,274",38,0,22,5,11,374,43,316,15,0
Sugar Land,2018,"89,790",71,0,15,36,20,"1,289",158,"1,075",56,0
Sullivan City,2018,"4,223",36,0,2,0,34,75,17,54,4,0
Sulphur Springs,2018,"16,281",29,0,6,4,19,166,27,126,13,2
Sunrise Beach Village,2018,767,0,0,0,0,0,8,4,4,0,0
Sunset Valley,2018,704,8,0,0,2,6,163,10,152,1,0
Surfside Beach,2018,575,1,0,0,0,1,21,4,17,0,0
Sweeny,2018,"3,773",15,0,2,0,13,92,13,77,2,0
Sweetwater3,2018,"10,726",46,0,3,1,42,361,156,179,26,0
Taft,2018,"3,022",4,0,0,0,4,36,8,25,3,0
Tahoka,2018,"2,544",0,0,0,0,0,32,11,19,2,0
Tatum,2018,"1,366",2,0,1,0,1,22,5,16,1,0
Taylor,2018,"17,116",42,0,2,7,33,521,78,410,33,2
Teague,2018,"3,538",8,0,4,1,3,41,15,19,7,0
Temple,2018,"74,794",238,5,63,65,105,"2,130",409,"1,483",238,6
Terrell,2018,"17,579",114,1,13,29,71,793,167,559,67,0
Terrell Hills,2018,"5,457",1,0,0,0,1,72,16,56,0,1
Texarkana,2018,"37,882",478,3,31,86,358,"1,889",311,"1,457",121,21
Texas City,2018,"48,774",237,2,47,46,142,"1,704",336,"1,245",123,1
The Colony,2018,"43,484",114,1,60,9,44,501,86,373,42,6
Thorndale,2018,"1,293",4,0,0,0,4,20,4,16,0,0
Thrall,2018,943,0,0,0,0,0,2,0,2,0,0
Three Rivers,2018,"1,956",12,0,0,0,12,18,9,9,0,0
Tioga,2018,958,1,0,0,0,1,4,1,1,2,0
Tomball,2018,"11,807",31,1,7,7,16,329,37,252,40,1
Tool,2018,"2,284",2,0,1,0,1,19,5,10,4,0
Trophy Club,2018,"12,999",2,0,0,1,1,88,8,72,8,0
Troup,2018,"2,001",15,0,2,1,12,55,19,34,2,0
Tulia,2018,"4,673",21,0,2,3,16,110,18,87,5,0
Tye,2018,"1,260",4,0,0,0,4,25,4,19,2,0
Tyler,2018,"106,115",464,6,65,60,333,"3,337",446,"2,745",146,4
Universal City,2018,"20,668",77,2,9,19,47,584,123,416,45,7
University Park,2018,"25,218",11,0,5,4,2,314,38,257,19,1
Uvalde,2018,"16,671",39,1,4,11,23,616,81,525,10,0
Van,2018,"2,745",6,0,2,1,3,45,7,31,7,0
Van Alstyne,2018,"3,700",3,0,0,0,3,47,8,36,3,2
Venus,2018,"3,535",4,1,0,1,2,27,5,18,4,0
Vernon,2018,"10,378",38,1,7,4,26,338,56,268,14,3
Victoria,2018,"68,544",217,4,48,49,116,"2,436",646,"1,680",110,4
Vidor,2018,"11,000",30,2,3,5,20,313,60,219,34,1
Waco,2018,"135,997",690,5,117,108,460,"4,889",957,"3,741",191,15
Waelder,2018,"1,133",3,0,1,0,2,2,2,0,0,0
Wake Village,2018,"5,448",8,1,1,3,3,139,25,104,10,0
Waller,2018,"2,847",7,0,1,1,5,60,13,42,5,0
Wallis,2018,"1,306",2,0,0,0,2,5,1,4,0,0
Watauga,2018,"24,814",38,0,14,5,19,410,68,328,14,2
Waxahachie,2018,"35,169",51,3,3,19,26,749,80,599,70,0
Weatherford,2018,"30,712",33,0,3,5,25,707,113,555,39,2
Webster,2018,"11,149",57,0,18,23,16,844,123,640,81,0
Weimar,2018,"2,173",6,0,3,0,3,20,6,10,4,0
Weslaco,2018,"40,554",147,0,24,26,97,"1,630",146,"1,434",50,2
West,2018,"2,892",8,0,5,1,2,51,10,40,1,0
West Lake Hills3,2018,"3,438",2,0,0,1,1,70,12,53,5,0
West Orange,2018,"3,457",5,0,0,0,5,112,12,94,6,0
Westover Hills,2018,714,2,0,0,1,1,32,14,17,1,0
West University Place,2018,"15,676",10,0,0,9,1,137,44,89,4,0
Westworth,2018,"2,765",8,0,1,5,2,270,9,256,5,0
Wharton,2018,"8,769",51,0,1,14,36,286,54,226,6,4
Whitehouse,2018,"8,366",35,0,4,0,31,78,19,57,2,0
White Oak,2018,"6,343",6,0,3,0,3,100,11,70,19,0
Whitesboro,2018,"4,002",7,0,0,0,7,35,2,30,3,0
White Settlement,2018,"17,385",32,1,0,17,14,432,101,282,49,0
Wichita Falls,2018,"104,706",374,4,78,127,165,"3,257",725,"2,294",238,0
Willis,2018,"6,450",42,0,8,9,25,161,27,123,11,2
Willow Park3,2018,"5,371",6,2,2,0,2,56,11,42,3,0
Wills Point,2018,"3,622",12,0,3,1,8,80,21,57,2,0
Wilmer,2018,"4,069",4,0,0,2,2,83,21,54,8,0
Windcrest,2018,"5,939",19,1,4,8,6,394,19,345,30,0
Wink,2018,"1,066",1,0,1,0,0,3,0,2,1,0
Winnsboro,2018,"3,356",9,0,1,0,8,94,20,68,6,0
Winters,2018,"2,529",28,0,2,0,26,33,15,15,3,1
Wolfforth,2018,"4,552",0,0,0,0,0,22,11,11,0,0
Woodbranch,2018,"1,396",0,0,0,0,0,7,3,4,0,0
Woodville,2018,"2,458",1,0,0,0,1,9,5,4,0,0
Woodway,2018,"8,894",14,0,3,1,10,91,8,83,0,0
Wortham,2018,"1,009",0,0,0,0,0,13,6,6,1,0
Wylie,2018,"48,772",46,0,14,4,28,425,50,347,28,2
Yoakum,2018,"6,055",11,0,7,0,4,91,45,43,3,1
Yorktown,2018,"2,177",5,0,3,1,1,26,10,14,2,0
