City,Year,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Bulverde,2012,"4,852",3,0,0,0,3,69,14,54,1,0
Burkburnett,2012,"10,901",34,1,6,1,26,311,65,230,16,1
Burleson,2012,"37,774",67,1,7,21,38,"1,032",195,803,34,2
Burnet,2012,"6,128",14,0,1,3,10,154,35,112,7,1
Cactus,2012,"3,234",14,0,4,1,9,18,9,7,2,0
Caddo Mills,2012,"1,364",1,0,0,0,1,11,6,5,0,0
Caldwell,2012,"4,180",5,1,0,0,4,41,2,36,3,0
Calvert,2012,"1,218",7,0,0,0,7,36,15,20,1,4
Cameron,2012,"5,621",21,0,1,5,15,238,44,193,1,1
Canton,2012,"3,637",4,0,0,1,3,105,12,90,3,0
Canyon,2012,"13,773",17,1,2,0,14,103,23,74,6,2
Carrollton,2012,"124,477",180,2,7,75,96,"3,414",771,"2,358",285,10
Carthage,2012,"6,954",34,0,4,4,26,309,58,243,8,2
Castle Hills,2012,"4,280",3,0,0,3,0,311,30,271,10,0
Castroville,2012,"2,740",8,0,2,2,4,51,20,26,5,1
Cedar Hill,2012,"46,633",106,0,11,38,57,"1,646",367,"1,194",85,2
Cedar Park,2012,"52,051",109,0,11,9,89,765,93,653,19,1
Celina,2012,"6,350",3,0,1,0,2,71,17,52,2,0
Center,2012,"5,307",45,0,3,13,29,253,48,195,10,2
Childress,2012,"6,149",29,0,0,1,28,84,33,47,4,0
Chillicothe,2012,723,0,0,0,0,0,17,1,16,0,0
Cibolo,2012,"16,090",23,1,4,1,17,242,52,184,6,0
Cisco,2012,"3,972",9,0,0,0,9,183,95,86,2,0
Clarksville,2012,"3,285",3,0,0,2,1,47,27,20,0,0
Cleburne,2012,"30,126",147,1,27,21,98,"1,330",267,"1,005",58,4
Cleveland,2012,"7,847",84,0,5,15,64,693,114,529,50,5
Clifton,2012,"3,509",0,0,0,0,0,20,6,14,0,1
Clint,2012,964,0,0,0,0,0,12,2,8,2,0
Clute,2012,"11,631",25,0,3,4,18,268,53,207,8,1
Clyde,2012,"3,759",2,0,0,0,2,54,12,37,5,0
Cockrell Hill,2012,"4,343",44,0,2,7,35,124,38,72,14,3
Coleman,2012,"4,709",12,0,0,2,10,188,92,90,6,1
College Station,2012,"96,567",491,3,34,38,416,"2,398",576,"1,762",60,0
Colleyville,2012,"23,677",5,0,1,1,3,181,32,146,3,0
Collinsville,2012,"1,655",3,0,1,0,2,20,9,11,0,0
Colorado City,2012,"4,221",33,0,0,0,33,172,72,100,0,1
Columbus,2012,"3,699",25,0,6,1,18,130,16,112,2,0
Comanche,2012,"4,373",11,0,1,1,9,167,36,130,1,1
Combes,2012,"2,996",7,1,1,0,5,36,11,22,3,2
Commerce,2012,"8,229",40,1,7,9,23,285,83,194,8,0
Conroe,2012,"59,856",221,2,13,74,132,"2,061",447,"1,501",113,1
Converse,2012,"18,922",71,0,9,11,51,524,97,402,25,1
Coppell,2012,"40,053",27,0,3,4,20,663,129,519,15,1
Copperas Cove,2012,"33,009",118,1,10,23,84,955,312,636,7,20
Corinth,2012,"20,971",34,0,0,3,31,297,73,213,11,1
Corpus Christi,2012,"312,565","2,057",16,184,375,"1,482","14,061","2,452","11,166",443,39
Corrigan,2012,"1,633",7,0,0,3,4,41,13,24,4,0
Corsicana,2012,"24,284",157,0,25,33,99,"1,258",342,875,41,1
Crandall,2012,"2,957",2,0,1,0,1,18,9,6,3,0
Crane,2012,"3,410",8,0,1,0,7,18,7,11,0,0
Crockett,2012,"6,975",20,0,0,1,19,180,41,132,7,0
Crosbyton,2012,"1,776",2,0,1,1,0,26,15,9,2,0
Crowell,2012,965,0,0,0,0,0,0,0,0,0,0
Crowley,2012,"13,328",17,0,5,4,8,297,49,237,11,0
Crystal City,2012,"7,355",30,1,0,1,28,91,26,60,5,0
Cuero,2012,"7,001",77,0,6,4,67,234,52,173,9,0
Cumby,2012,794,0,0,0,0,0,25,10,13,2,0
Daingerfield,2012,"2,579",16,0,1,2,13,87,30,55,2,1
Dalhart,2012,"8,124",43,1,6,1,35,238,71,157,10,1
Dallas,2012,"1,241,549","8,380",154,486,"4,093","3,647","54,300","16,090","31,148","7,062",581
Dalworthington Garden,2012,"2,345",0,0,0,0,0,19,3,16,0,0
Danbury,2012,"1,780",2,0,2,0,0,6,0,6,0,0
Dayton,2012,"7,416",20,0,7,5,8,173,45,116,12,0
Decatur,2012,"6,206",10,0,1,1,8,214,19,186,9,0
Deer Park,2012,"33,196",46,0,13,14,19,874,117,720,37,2
De Kalb,2012,"1,708",10,0,0,3,7,54,12,39,3,0
De Leon,2012,"2,266",6,0,1,0,5,27,6,19,2,0
Del Rio,2012,"36,302",61,1,0,10,50,731,157,561,13,8
Denison,2012,"23,125",94,1,10,15,68,"1,081",251,767,63,1
Denton,2012,"118,942",369,1,86,82,200,"3,262",632,"2,473",157,27
Denver City,2012,"4,617",4,0,2,2,0,95,37,56,2,0
Desoto,2012,"50,795",132,1,11,43,77,"1,782",622,"1,042",118,3
Devine,2012,"4,452",7,1,0,0,6,71,10,59,2,0
Diboll,2012,"4,896",11,0,4,4,3,110,30,75,5,1
Dickinson,2012,"19,251",49,0,6,15,28,600,131,430,39,0
Dilley,2012,"3,988",4,0,0,3,1,106,54,51,1,2
Dimmitt,2012,"4,489",6,0,0,1,5,159,48,106,5,0
Donna,2012,"16,518",139,0,4,18,117,975,240,690,45,5
Double Oak,2012,"3,014",0,0,0,0,0,13,0,12,1,0
Dublin,2012,"3,746",11,0,1,0,10,141,52,87,2,1
Dumas,2012,"14,946",33,0,4,1,28,391,67,310,14,4
Duncanville,2012,"39,899",119,0,7,63,49,"1,363",344,863,156,4
Eagle Lake,2012,"3,684",4,0,1,0,3,44,27,17,0,0
Eagle Pass,2012,"27,208",53,0,0,3,50,924,238,665,21,0
Early,2012,"2,810",13,1,2,1,9,87,16,71,0,0
Eastland,2012,"4,029",13,0,0,4,9,134,38,86,10,0
East Mountain,2012,815,3,1,1,0,1,22,14,6,2,0
Edcouch,2012,"3,305",22,0,0,1,21,73,28,41,4,4
Edgewood,2012,"1,467",1,0,0,0,1,2,1,1,0,0
Edinburg,2012,"80,332",357,1,29,50,277,"4,732",857,"3,666",209,10
Edna,2012,"5,561",10,0,0,0,10,141,25,111,5,0
El Campo,2012,"11,786",37,1,2,5,29,319,73,235,11,2
Electra,2012,"2,814",3,0,0,0,3,52,23,25,4,0
Elgin,2012,"8,386",21,0,4,3,14,232,51,177,4,1
El Paso,2012,"675,536","2,859",23,184,471,"2,181","16,411","1,826","13,425","1,160",94
Elsa,2012,"5,918",23,0,1,2,20,372,130,233,9,2
Ennis,2012,"19,184",62,2,2,23,35,865,136,696,33,3
Euless,2012,"53,228",95,0,10,38,47,"1,588",324,"1,123",141,2
Everman,2012,"6,342",34,0,2,12,20,196,63,119,14,1
Fairfield,2012,"2,974",5,0,0,3,2,35,12,23,0,0
Fair Oaks Ranch,2012,"6,254",1,0,0,0,1,44,30,13,1,0
Falfurrias,2012,"5,055",11,1,2,0,8,103,31,72,0,4
Farmers Branch,2012,"29,637",35,1,2,13,19,"1,124",169,864,91,6
Farmersville,2012,"3,478",20,0,5,1,14,87,17,65,5,1
Farwell,2012,"1,393",1,0,0,0,1,7,2,4,1,0
Ferris,2012,"2,524",10,0,1,0,9,54,13,40,1,0
Flatonia,2012,"1,415",1,0,0,0,1,16,9,7,0,0
Florence,2012,"1,209",0,0,0,0,0,8,4,4,0,0
Floresville,2012,"6,672",9,0,2,2,5,240,30,202,8,0
Flower Mound,2012,"68,023",21,0,0,5,16,563,107,439,17,2
Floydada,2012,"3,058",13,0,2,1,10,55,15,37,3,2
Forest Hill,2012,"12,825",64,2,3,20,39,507,156,311,40,0
Forney1,2012,"15,174",21,0,5,5,11,,,237,21,1
Fort Stockton,2012,"8,530",47,1,4,2,40,278,60,216,2,1
Fort Worth,2012,"770,101","4,524",44,391,"1,280","2,809","32,514","8,442","21,648","2,424",118
Frankston,2012,"1,243",3,0,1,0,2,45,17,27,1,0
Fredericksburg,2012,"10,802",7,0,0,2,5,224,19,192,13,0
Freeport,2012,"12,501",36,1,6,7,22,408,127,262,19,0
Freer,2012,"2,832",36,1,0,3,32,74,17,49,8,1
Friendswood,2012,"36,965",15,0,4,4,7,353,66,274,13,0
Friona,2012,"4,211",4,0,1,1,2,19,8,9,2,0
Frisco,2012,"123,205",98,0,8,24,66,"2,527",440,"2,033",54,4
Gainesville,2012,"16,223",89,1,7,13,68,971,256,675,40,5
Galveston,2012,"49,170",296,2,37,118,139,"2,469",517,"1,792",160,12
Ganado,2012,"2,028",0,0,0,0,0,0,0,0,0,0
Garden Ridge,2012,"3,413",0,0,0,0,0,38,12,25,1,0
Garland,2012,"234,984",540,7,47,236,250,"8,675","2,218","5,866",591,51
Gatesville,2012,"16,224",17,0,3,2,12,183,46,132,5,0
Georgetown,2012,"50,304",66,0,14,5,47,920,147,755,18,8
Gilmer,2012,"5,030",30,0,2,7,21,198,27,164,7,0
Gladewater,2012,"6,612",39,0,7,7,25,280,68,201,11,1
Glenn Heights,2012,"11,683",49,0,4,5,40,292,97,176,19,1
Godley,2012,"1,036",2,0,0,0,2,37,10,25,2,0
Gonzales,2012,"7,381",77,2,9,3,63,300,72,219,9,1
Gorman,2012,"1,102",2,0,0,1,1,7,4,3,0,1
Graham,2012,"9,005",21,0,7,1,13,315,73,235,7,0
Granbury,2012,"8,170",19,0,3,1,15,572,48,514,10,2
Grand Prairie,2012,"181,782",499,1,50,160,288,"5,246","1,298","3,316",632,33
Grand Saline,2012,"3,195",1,0,0,0,1,82,19,61,2,0
Granger,2012,"1,501",0,0,0,0,0,20,5,15,0,0
Granite Shoals,2012,"5,027",10,0,0,1,9,47,13,27,7,0
Grapeland,2012,"1,494",4,0,0,0,4,28,17,11,0,0
Grapevine,2012,"48,095",71,1,13,13,44,"1,338",164,"1,100",74,4
Greenville,2012,"26,061",166,0,11,40,115,"1,208",249,885,74,8
Gregory,2012,"1,934",8,0,0,1,7,37,13,22,2,0
Groesbeck,2012,"4,431",8,0,4,1,3,42,21,18,3,1
Groves,2012,"16,423",73,1,7,8,57,538,124,399,15,0
Gruver,2012,"1,207",2,0,0,0,2,19,8,11,0,0
Gun Barrel City,2012,"5,777",21,0,0,2,19,299,81,201,17,0
Hale Center,2012,"2,301",5,1,1,0,3,22,8,12,2,0
Hallettsville,2012,"2,610",12,0,0,0,12,86,12,71,3,0
Hallsville,2012,"3,656",6,0,1,1,4,43,24,18,1,0
Haltom City,2012,"44,024",106,0,7,27,72,"1,454",446,881,127,5
Hamlin,2012,"2,148",7,0,0,1,6,47,8,39,0,0
Harker Heights,2012,"27,542",123,0,13,20,90,887,293,569,25,2
Harlingen,2012,"67,112",271,4,23,62,182,"3,272",606,"2,555",111,20
Haskell,2012,"3,419",8,0,0,0,8,60,21,37,2,0
Hawk Cove,2012,493,1,0,0,0,1,11,6,5,0,0
Hawkins,2012,"1,303",5,0,0,0,5,48,14,32,2,0
Hawley,2012,639,1,0,1,0,0,9,6,2,1,0
Hearne,2012,"4,558",36,0,0,4,32,95,39,53,3,1
Hedwig Village,2012,"2,652",7,0,0,6,1,189,15,161,13,1
Helotes,2012,"7,636",4,1,1,1,1,122,15,104,3,0
Hemphill,2012,"1,206",0,0,0,0,0,42,7,33,2,0
Hempstead,2012,"5,968",18,0,0,4,14,171,48,112,11,2
Hereford,2012,"15,779",32,0,1,6,25,290,62,212,16,5
Hewitt,2012,"13,973",11,0,0,1,10,146,38,97,11,0
Hickory Creek,2012,"3,414",5,0,1,4,0,82,4,74,4,0
Hidalgo,2012,"11,706",12,0,0,3,9,194,38,139,17,3
Highland Park,2012,"8,871",3,0,0,2,1,248,17,224,7,2
Highland Village,2012,"15,836",6,0,0,3,3,178,7,169,2,0
Hill Country Village,2012,"1,024",2,0,1,1,0,52,7,41,4,0
Hillsboro,2012,"8,653",28,0,3,8,17,297,55,237,5,1
Hitchcock,2012,"7,174",22,1,1,6,14,215,71,133,11,1
Holliday,2012,"1,743",4,0,0,0,4,15,5,9,1,0
Hollywood Park,2012,"3,185",1,0,0,1,0,156,26,123,7,0
Hondo,2012,"8,992",34,0,5,0,29,238,28,200,10,1
Hooks,2012,"2,819",1,0,0,0,1,29,11,18,0,0
Horizon City,2012,"17,418",28,0,0,3,25,198,53,132,13,6
Horseshoe Bay,2012,"3,459",3,0,0,0,3,54,10,38,6,0
Houston,2012,"2,177,273","21,610",217,665,"9,385","11,343","107,678","26,630","67,978","13,070",754
Howe,2012,"2,652",4,0,0,0,4,16,4,12,0,0
Hubbard,2012,"1,455",3,0,1,1,1,22,10,11,1,0
Hudson,2012,"4,849",18,0,1,0,17,84,27,55,2,0
Hudson Oaks,2012,"1,702",2,0,0,0,2,101,8,91,2,0
Hughes Springs,2012,"1,774",10,0,0,0,10,9,2,7,0,0
Humble1,2012,"15,684",106,1,25,51,29,,,"1,301",104,1
Huntington,2012,"2,168",11,1,7,0,3,37,14,19,4,0
Huntsville,2012,"39,243",202,1,28,13,160,"1,038",263,740,35,2
Hurst,2012,"38,756",217,0,12,33,172,"1,899",266,"1,581",52,5
Hutchins,2012,"5,484",6,0,0,1,5,202,36,125,41,0
Hutto,2012,"15,635",21,0,4,1,16,196,47,145,4,0
Idalou,2012,"2,326",4,0,0,0,4,36,9,25,2,0
Ingleside,2012,"9,516",34,1,14,2,17,208,60,142,6,6
Ingram,2012,"1,836",5,0,2,1,2,54,15,37,2,1
Iowa Park,2012,"6,407",19,0,2,0,17,93,18,68,7,2
Irving,2012,"224,007",507,3,27,135,342,"6,307","1,277","4,466",564,18
Italy,2012,"1,930",10,0,1,0,9,34,5,28,1,1
Itasca,2012,"1,684",8,0,1,1,6,33,17,16,0,0
Jacinto City,2012,"10,941",29,0,1,15,13,436,126,255,55,0
Jacksboro,2012,"4,574",23,0,6,0,17,67,17,47,3,1
Jacksonville,2012,"14,856",159,1,19,22,117,707,200,480,27,4
Jamaica Beach,2012,"1,013",0,0,0,0,0,23,11,10,2,0
Jarrell,2012,"1,048",2,0,0,0,2,16,0,15,1,0
Jasper,2012,"7,830",65,0,10,4,51,411,54,350,7,1
Jefferson,2012,"2,132",16,0,2,2,12,53,19,33,1,0
Jersey Village,2012,"7,903",26,0,0,11,15,262,58,168,36,0
Johnson City,2012,"1,698",0,0,0,0,0,12,2,10,0,0
Jones Creek,2012,"2,095",0,0,0,0,0,7,2,4,1,0
Jonestown,2012,"1,935",7,0,0,2,5,51,18,33,0,0
Joshua,2012,"6,072",9,0,3,0,6,123,51,66,6,2
Jourdanton,2012,"3,988",4,0,0,1,3,18,11,7,0,0
Junction,2012,"2,627",3,0,0,0,3,49,9,39,1,0
Karnes City,2012,"3,114",9,1,1,1,6,65,6,54,5,1
Katy,2012,"14,642",30,0,1,8,21,663,67,562,34,2
Kaufman,2012,"6,934",17,0,0,4,13,109,28,73,8,0
Keene,2012,"6,259",6,0,0,0,6,134,38,91,5,0
Keller,2012,"41,137",15,0,2,4,9,388,72,303,13,0
Kemah,2012,"1,827",7,0,1,3,3,197,38,157,2,0
Kenedy,2012,"3,380",15,1,0,0,14,121,21,99,1,0
Kennedale,2012,"7,020",17,0,1,6,10,222,67,140,15,0
Kerens,2012,"1,608",7,0,1,1,5,25,9,16,0,0
Kermit,2012,"5,849",29,0,0,1,28,38,12,22,4,0
Kerrville,2012,"22,759",39,1,2,3,33,596,81,496,19,0
Kilgore,2012,"13,306",63,0,6,9,48,692,102,547,43,13
Killeen,2012,"131,965",851,12,82,236,521,"4,986","1,498","3,296",192,36
Kingsville,2012,"26,716",142,0,5,17,120,"1,018",312,690,16,3
Kirby,2012,"8,322",25,0,0,4,21,203,65,110,28,1
Kountze,2012,"2,179",8,0,0,1,7,42,6,34,2,0
Kress,2012,720,0,0,0,0,0,11,7,4,0,0
Krugerville,2012,"1,745",1,0,1,0,0,19,5,13,1,0
Kyle,2012,"29,732",107,1,15,6,85,484,103,352,29,1
Lacy-Lakeview,2012,"6,692",43,0,11,4,28,233,72,149,12,2
La Feria,2012,"7,516",11,0,2,2,7,318,54,263,1,2
Lago Vista,2012,"6,369",11,0,4,1,6,63,9,53,1,1
La Grange,2012,"4,745",5,0,0,1,4,51,12,37,2,0
La Grulla,2012,"1,667",5,0,0,0,5,10,6,3,1,0
Laguna Vista,2012,"3,222",3,0,0,0,3,75,35,39,1,0
La Joya,2012,"4,166",5,0,0,1,4,24,5,19,0,1
Lake Dallas,2012,"7,473",9,0,0,1,8,164,21,137,6,1
Lake Jackson,2012,"27,862",24,0,4,9,11,575,88,474,13,4
Lakeside,2012,"1,357",1,0,0,0,1,17,5,12,0,0
"Lakeview, Harris County",2012,"6,481",14,0,1,2,11,72,14,51,7,1
Lakeway,2012,"12,007",23,0,0,0,23,181,24,151,6,0
Lake Worth,2012,"4,755",21,0,0,7,14,588,140,430,18,0
La Marque,2012,"14,953",75,1,11,23,40,721,188,491,42,9
Lamesa,2012,"9,497",25,0,11,1,13,266,72,174,20,0
Lampasas,2012,"6,850",30,0,11,0,19,253,50,201,2,5
La Porte,2012,"35,054",61,1,25,8,27,604,127,439,38,8
Laredo,2012,"245,558","1,036",8,81,183,764,"10,685","1,718","8,586",381,86
La Vernia,2012,"1,071",3,0,0,0,3,50,5,44,1,0
La Villa,2012,"2,023",2,0,0,2,0,10,5,4,1,0
Lavon,2012,"2,337",5,0,0,0,5,12,3,9,0,0
League City,2012,"86,127",79,0,16,28,35,"1,734",299,"1,366",69,0
Leander,2012,"28,244",41,0,2,3,36,352,53,291,8,2
Leon Valley,2012,"10,558",28,0,1,9,18,810,94,664,52,0
Levelland,2012,"13,719",86,1,11,8,66,579,186,385,8,2
Lexington,2012,"1,200",12,0,0,0,12,59,23,31,5,0
Liberty,2012,"8,282",90,0,4,8,78,572,88,451,33,0
Linden,2012,"2,004",3,0,0,0,3,41,11,30,0,0
Little Elm,2012,"27,246",25,0,2,8,15,267,55,205,7,1
Littlefield,2012,"6,560",27,1,0,3,23,255,84,165,6,2
Live Oak,2012,"13,657",27,0,1,6,20,686,77,568,41,0
Llano,2012,"3,261",0,0,0,0,0,82,25,57,0,0
Lockhart,2012,"13,013",61,0,9,8,44,402,101,281,20,0
Lockney,2012,"1,854",6,0,0,0,6,33,16,15,2,2
Lometa,2012,879,1,0,0,0,1,14,5,9,0,0
Lone Star,2012,"1,594",5,0,0,1,4,58,23,35,0,0
Longview,2012,"82,554",463,7,28,131,297,"4,212",950,"2,946",316,5
Lorena,2012,"1,743",7,0,1,0,6,44,9,34,1,0
Lorenzo,2012,"1,171",0,0,0,0,0,13,6,6,1,0
Los Fresnos,2012,"5,737",13,0,2,1,10,158,21,134,3,1
Lubbock,2012,"237,241","1,962",11,104,325,"1,522","12,273","3,099","8,429",745,46
Lufkin,2012,"35,956",221,2,12,43,164,"2,231",456,"1,711",64,9
Luling,2012,"5,549",40,0,4,4,32,142,32,106,4,2
Lumberton,2012,"12,258",14,0,3,2,9,227,41,176,10,1
Lyford,2012,"2,643",6,0,0,0,6,26,13,10,3,0
Lytle,2012,"2,562",12,0,0,2,10,126,12,112,2,0
Madisonville,2012,"4,494",15,0,1,4,10,129,33,87,9,0
Magnolia,2012,"1,464",12,0,0,3,9,34,16,18,0,0
Malakoff,2012,"2,367",4,0,3,0,1,30,8,22,0,0
Manor,2012,"5,313",22,0,2,4,16,145,40,103,2,1
Mansfield,2012,"58,490",74,2,23,22,27,916,169,700,47,0
Manvel,2012,"5,375",4,0,0,1,3,105,51,47,7,3
Marble Falls,2012,"6,222",25,0,8,3,14,273,35,228,10,0
Marlin,2012,"6,082",16,0,4,3,9,83,31,50,2,0
Marshall,2012,"24,109",146,2,10,13,121,934,299,587,48,7
Martindale,2012,"1,143",2,0,0,0,2,10,3,6,1,0
Mathis,2012,"5,010",34,0,3,0,31,80,25,49,6,0
McAllen,2012,"135,745",166,1,3,56,106,"5,465",503,"4,751",211,13
McGregor,2012,"5,142",12,1,0,4,7,82,29,53,0,0
McKinney,2012,"138,105",229,0,54,58,117,"2,786",492,"2,190",104,26
Meadows Place,2012,"4,904",4,0,0,4,0,145,43,94,8,0
Melissa,2012,"4,936",1,0,0,1,0,44,12,32,0,0
Memorial Villages,2012,"11,540",3,0,0,2,1,94,16,75,3,0
Memphis,2012,"2,341",5,0,0,0,5,46,16,25,5,0
Mercedes,2012,"16,417",108,0,10,17,81,879,168,672,39,7
Meridian,2012,"1,523",0,0,0,0,0,5,3,2,0,0
Merkel,2012,"2,653",7,0,1,0,6,44,17,26,1,1
Mesquite,2012,"144,811",442,2,14,183,243,"6,285","1,568","4,030",687,19
Mexia,2012,"7,652",43,2,1,6,34,309,84,206,19,2
Midland,2012,"115,637",398,4,21,52,321,"3,008",559,"2,313",136,6
Midlothian,2012,"18,693",17,0,3,1,13,307,54,246,7,2
Milford,2012,753,1,0,0,0,1,4,1,3,0,0
Mineola,2012,"4,590",8,0,0,1,7,121,19,100,2,3
Mineral Wells,2012,"17,045",60,1,5,11,43,978,173,770,35,4
Mission,2012,"80,557",104,3,6,46,49,"2,370",423,"1,788",159,18
Missouri City,2012,"70,819",86,0,8,34,44,879,219,613,47,2
Monahans,2012,"7,095",21,0,1,1,19,190,40,146,4,0
Mont Belvieu,2012,"3,942",16,0,5,3,8,179,21,131,27,0
Montgomery,2012,653,1,0,1,0,0,22,2,20,0,0
Morgans Point Resort,2012,"4,302",6,0,2,0,4,55,10,45,0,0
Moulton,2012,902,5,0,0,0,5,20,2,18,0,0
Mount Pleasant,2012,"15,941",32,0,0,3,29,637,149,458,30,3
Muleshoe,2012,"5,295",8,1,1,1,5,128,43,80,5,0
Munday,2012,"1,333",3,0,0,0,3,18,3,14,1,0
Murphy,2012,"18,662",5,0,1,0,4,127,16,110,1,0
Mustang Ridge,2012,900,0,0,0,0,0,27,16,9,2,0
Nacogdoches,2012,"33,905",133,1,10,27,95,"1,204",280,886,38,2
Naples,2012,"1,394",10,0,0,0,10,36,10,26,0,1
Nash,2012,"3,012",15,0,1,1,13,79,29,50,0,0
Nassau Bay,2012,"4,151",6,0,2,1,3,119,23,89,7,0
Navasota,2012,"7,312",70,0,4,6,60,241,60,166,15,0
Nederland,2012,"17,850",61,2,2,4,53,529,115,372,42,0
