City,Year,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Premont,2015,"2,662",35,0,1,,1,33,62,21,39,2,1
Presidio,2015,"3,835",3,0,2,,0,1,28,4,15,9,0
Primera,2015,"4,242",7,0,1,,0,6,37,5,31,1,0
Princeton,2015,"8,495",23,0,8,,1,14,99,21,77,1,0
Prosper,2015,"15,909",9,0,0,,1,8,159,35,122,2,0
Queen City,2015,"1,469",10,0,3,,1,6,20,6,14,0,2
Quitman,2015,"1,816",3,0,0,,0,3,24,3,20,1,0
Ralls,2015,"1,863",0,0,0,,0,0,1,1,0,0,0
Rancho Viejo,2015,"2,510",2,0,0,,1,1,15,6,9,0,0
Ranger,2015,"2,450",25,0,3,,0,22,135,44,86,5,1
Raymondville,2015,"11,068",115,0,12,,3,100,461,120,332,9,10
Red Oak,2015,"11,751",12,0,0,,6,6,325,35,259,31,0
Refugio,2015,"2,827",4,0,0,,0,4,27,7,20,0,0
Reno,2015,"3,283",1,0,0,,0,1,12,4,8,0,0
Richardson,2015,"111,008",167,1,22,,70,74,"2,225",370,"1,706",149,1
Richland Hills,2015,"8,102",10,0,2,,3,5,210,36,154,20,0
Richmond,2015,"12,121",41,0,9,,8,24,292,53,226,13,0
Riesel,2015,"1,023",3,0,0,,0,3,8,1,6,1,0
Rio Grande City,2015,"14,323",23,1,0,,5,17,295,49,232,14,0
Rio Hondo,2015,"2,436",3,0,0,,0,3,23,9,13,1,0
River Oaks,2015,"7,730",4,0,0,,1,3,173,49,99,25,1
Roanoke,2015,"7,229",16,0,2,,3,11,208,21,177,10,0
Robinson,2015,"11,635",23,0,0,,2,21,118,22,91,5,0
Robstown,2015,"11,702",250,1,1,,11,237,421,107,296,18,3
Rockdale,2015,"5,555",17,0,1,,0,16,139,36,94,9,3
Rockport,2015,"10,570",28,0,2,,4,22,674,148,504,22,1
Rockwall,2015,"42,790",45,0,9,,10,26,731,66,626,39,0
Rollingwood,2015,"1,551",2,0,0,,0,2,12,3,8,1,0
Roma,2015,"10,162",20,0,1,,2,17,104,26,63,15,0
Roman Forest,2015,"1,882",3,0,1,,0,2,13,3,9,1,0
Rosenberg,2015,"35,238",105,4,19,,24,58,565,147,377,41,2
Round Rock,2015,"115,955",153,1,39,,34,79,"2,230",205,"1,979",46,4
Rowlett,2015,"58,933",112,1,28,,16,67,871,140,701,30,1
Royse City,2015,"11,110",19,0,3,,3,13,110,23,83,4,0
Runaway Bay,2015,"1,405",0,0,0,,0,0,12,0,12,0,0
Rusk,2015,"5,585",13,1,4,,0,8,75,16,55,4,0
Sabinal,2015,"1,713",2,0,0,,0,2,33,1,30,2,0
Sachse,2015,"24,564",14,0,5,,2,7,276,48,220,8,0
Saginaw,2015,"22,175",39,1,16,,6,16,428,50,344,34,2
Salado,2015,"2,133",3,0,0,,2,1,17,6,11,0,0
San Angelo,2015,"100,356",354,3,56,,30,265,"4,089",737,"3,101",251,19
San Antonio,2015,"1,463,586","8,594",94,"1,049",,"1,986","5,465","73,611","11,632","55,803","6,176",261
San Augustine,2015,"2,035",11,0,0,,1,10,25,11,14,0,0
San Benito,2015,"24,557",117,0,31,,12,74,945,222,696,27,2
San Diego,2015,"4,385",18,0,0,,1,17,53,22,29,2,1
Sanger,2015,"7,768",15,0,2,,0,13,126,21,89,16,0
San Juan,2015,"36,719",199,2,25,,20,152,"1,036",188,800,48,3
San Marcos,2015,"62,919",214,5,45,,44,120,"1,801",297,"1,364",140,8
San Saba,2015,"2,692",5,0,1,,0,4,3,0,3,0,0
Sansom Park Village,2015,"4,859",25,0,1,,5,19,137,54,72,11,0
Santa Anna,2015,"1,032",0,0,0,,0,0,26,7,18,1,0
Santa Fe,2015,"12,982",32,0,14,,0,18,175,47,114,14,1
Schertz,2015,"38,201",66,2,12,,11,41,615,93,488,34,1
Schulenburg,2015,"2,904",28,0,1,,1,26,59,15,43,1,0
Seabrook,2015,"12,997",23,0,3,,7,13,158,34,108,16,0
Seagoville,2015,"15,917",23,2,0,,6,15,525,83,338,104,0
Seagraves,2015,"2,752",3,0,0,,0,3,33,13,19,1,0
Sealy,2015,"6,336",35,0,2,,0,33,219,52,162,5,0
Seguin,2015,"27,504",70,2,29,,7,32,"1,007",224,750,33,3
Selma,2015,"9,397",12,0,3,,2,7,226,30,185,11,0
Seminole,2015,"7,396",3,0,0,,0,3,102,13,82,7,0
Seven Points,2015,"1,449",9,0,0,,3,6,29,6,21,2,0
Seymour,2015,"2,610",8,0,2,,0,6,79,26,52,1,0
Shallowater,2015,"2,548",0,0,0,,0,0,48,22,23,3,0
Shamrock,2015,"2,040",2,0,0,,1,1,25,13,11,1,0
Shavano Park,2015,"3,514",2,0,0,,2,0,79,15,62,2,0
Shenandoah,2015,"2,811",12,0,0,,7,5,238,24,202,12,0
Sherman,2015,"40,338",170,2,42,,33,93,"1,199",261,854,84,5
Silsbee,2015,"6,699",13,1,0,,1,11,216,27,182,7,0
Sinton,2015,"5,775",43,0,0,,3,40,164,28,133,3,0
Slaton,2015,"6,054",22,0,4,,0,18,95,19,74,2,0
Smithville,2015,"4,050",8,0,3,,1,4,97,17,79,1,1
Snyder,2015,"11,659",51,0,10,,2,39,328,81,237,10,0
Socorro,2015,"33,110",38,0,2,,8,28,351,71,248,32,0
Somerset,2015,"1,779",2,0,0,,0,2,10,7,3,0,0
Somerville,2015,"1,365",0,0,0,,0,0,56,6,47,3,0
Sonora,2015,"2,891",7,0,1,,0,6,31,6,23,2,0
Sour Lake,2015,"1,775",1,0,0,,0,1,16,1,13,2,0
South Houston,2015,"17,667",78,0,2,,40,36,555,96,315,144,0
Southlake,2015,"29,724",10,0,1,,1,8,353,37,304,12,0
South Padre Island,2015,"2,904",44,0,14,,6,24,494,40,445,9,0
Spearman,2015,"3,296",1,0,0,,0,1,5,0,2,3,0
Splendora,2015,"1,694",9,0,1,,2,6,46,20,20,6,0
Springtown,2015,"2,780",14,0,2,,1,11,44,6,34,4,0
Spring Valley,2015,"4,251",5,0,0,,4,1,105,17,83,5,0
Spur,2015,"1,185",2,0,0,,0,2,5,4,1,0,1
Stafford,2015,"18,492",83,0,10,,26,47,679,98,518,63,2
Stamford,2015,"2,971",8,0,1,,1,6,64,22,36,6,2
Stanton,2015,"2,933",3,0,0,,0,3,24,3,15,6,0
Stephenville,2015,"19,991",30,0,6,,2,22,332,80,244,8,1
Stratford,2015,"2,090",3,0,2,,0,1,9,3,1,5,0
Sugar Land,2015,"88,810",83,1,11,,42,29,"1,470",206,"1,239",25,0
Sullivan City,2015,"4,185",10,0,1,,1,8,77,24,52,1,2
Sulphur Springs,2015,"16,103",42,2,10,,7,23,281,49,204,28,3
Sunrise Beach Village,2015,720,1,0,0,,0,1,8,2,6,0,0
Sunset Valley,2015,709,6,0,0,,4,2,133,4,127,2,0
Surfside Beach,2015,544,2,0,0,,0,2,19,4,11,4,0
Sweeny,2015,"3,780",8,0,0,,1,7,77,23,53,1,0
Sweetwater,2015,"10,777",56,0,5,,3,48,410,102,300,8,0
Taft,2015,"3,092",11,0,2,,0,9,71,13,57,1,0
Tahoka,2015,"2,579",7,0,1,,1,5,33,10,20,3,1
Tatum,2015,"1,382",5,0,0,,0,5,50,14,33,3,0
Taylor,2015,"16,770",33,1,1,,10,21,518,127,373,18,1
Temple,2015,"71,780",157,2,16,,72,67,"2,702",585,"1,961",156,3
Terrell,2015,"16,737",106,1,13,,22,70,623,154,417,52,4
Terrell Hills,2015,"5,296",0,0,0,,0,0,90,17,70,3,0
Texarkana,2015,"37,415",284,3,20,,51,210,"1,904",320,"1,464",120,16
Texas City,2015,"46,976",186,3,19,,61,103,"1,458",233,"1,142",83,1
The Colony,2015,"42,657",71,2,17,,15,37,509,85,377,47,8
Thorndale4,2015,"1,298",3,0,0,,0,3,99,7,91,1,0
Thrall,2015,922,4,0,0,,0,4,7,1,6,0,0
Three Rivers,2015,"1,972",8,0,0,,0,8,50,10,38,2,0
Tioga,2015,830,0,0,0,,0,0,11,6,2,3,0
Tomball,2015,"11,435",37,1,4,,11,21,423,48,324,51,1
Tool,2015,"2,266",5,0,0,,0,5,42,15,20,7,0
Trophy Club,2015,"12,153",3,0,1,,0,2,41,6,35,0,0
Troy,2015,"1,774",2,0,0,,0,2,25,6,16,3,0
Tulia,2015,"4,743",49,0,1,,1,47,55,14,41,0,0
Tye,2015,"1,253",3,0,0,,0,3,36,10,24,2,0
Tyler,2015,"102,481",395,5,54,,66,270,"4,086",673,"3,210",203,1
Universal City,2015,"20,011",42,0,5,,9,28,377,84,266,27,3
University Park,2015,"24,729",3,0,0,,2,1,286,30,245,11,0
Uvalde,2015,"16,574",53,0,15,,5,33,777,131,627,19,0
Van,2015,"2,672",6,0,3,,0,3,62,18,40,4,0
Van Alstyne,2015,"3,265",1,0,0,,0,1,36,6,28,2,0
Venus,2015,"3,289",6,0,1,,0,5,30,6,21,3,0
Vernon,2015,"10,422",36,0,6,,5,25,280,40,216,24,4
Victoria,2015,"66,988",334,3,47,,50,234,"2,252",440,"1,711",101,5
Vidor,2015,"10,971",57,2,0,,2,53,323,78,219,26,0
Waco,2015,"131,413",695,22,78,,142,453,"4,913","1,143","3,614",156,55
Wake Village,2015,"5,466",5,0,0,,1,4,109,20,85,4,0
Waller,2015,"2,483",10,0,0,,3,7,100,14,79,7,0
Wallis,2015,"1,284",0,0,0,,0,0,13,3,10,0,0
Watauga,2015,"24,547",35,1,9,,8,17,557,78,452,27,1
Waxahachie,2015,"33,012",48,0,1,,15,32,860,110,691,59,4
Weatherford,2015,"28,379",46,1,8,,6,31,621,81,509,31,3
Webster,2015,"11,236",47,1,9,,12,25,728,105,552,71,0
Weimar,2015,"2,129",4,0,0,,0,4,27,10,16,1,0
Weslaco,2015,"38,109",177,1,16,,44,116,"2,099",308,"1,734",57,4
West,2015,"2,956",3,0,0,,0,3,35,6,28,1,0
West Columbia,2015,"3,953",15,0,3,,2,10,75,17,54,4,0
West Lake Hills,2015,"3,343",4,0,2,,0,2,65,10,54,1,0
West Orange,2015,"3,456",9,0,1,,0,8,244,31,207,6,0
Westover Hills,2015,727,0,0,0,,0,0,13,5,8,0,0
West Tawakoni,2015,"1,634",0,0,0,,0,0,16,5,10,1,0
West University Place,2015,"15,806",9,0,0,,8,1,197,105,85,7,0
Westworth,2015,"2,671",5,0,1,,0,4,197,9,186,2,0
Wharton,2015,"8,618",43,0,0,,8,35,428,68,351,9,0
Whitehouse,2015,"8,131",14,0,4,,0,10,93,9,84,0,0
White Oak,2015,"6,277",8,0,4,,2,2,94,12,66,16,0
Whitesboro,2015,"3,877",7,0,0,,2,5,40,2,36,2,0
White Settlement,2015,"17,085",43,0,0,,14,29,414,103,267,44,5
Whitewright,2015,"1,620",10,0,0,,0,10,17,4,10,3,0
Whitney,2015,"2,085",0,0,0,,0,0,55,15,37,3,0
Wichita Falls,2015,"105,186",406,1,85,,109,211,"3,821",899,"2,751",171,1
Willis,2015,"6,375",81,0,7,,7,67,164,36,109,19,0
Willow Park,2015,"4,942",4,0,1,,3,0,51,3,45,3,0
Wills Point,2015,"3,519",8,0,0,,1,7,61,26,34,1,0
Wilmer,2015,"3,889",3,0,0,,1,2,77,12,54,11,1
Windcrest,2015,"5,800",11,0,1,,4,6,361,11,335,15,0
Wink,2015,"1,060",1,0,0,,0,1,14,5,8,1,0
Winnsboro,2015,"3,325",20,0,0,,4,16,45,7,36,2,0
Winters,2015,"2,523",6,0,0,,0,6,49,6,37,6,1
Wolfforth,2015,"4,215",6,0,1,,0,5,48,8,37,3,0
Woodbranch,2015,"1,384",1,0,0,,0,1,5,2,2,1,0
Woodville,2015,"2,467",2,0,0,,0,2,15,4,11,0,0
Woodway,2015,"8,829",10,0,2,,1,7,90,8,80,2,0
Wortham,2015,"1,058",3,0,0,,1,2,34,4,29,1,0
Wylie,2015,"47,022",44,1,21,,5,17,357,51,293,13,2
Yoakum,2015,"6,035",21,1,3,,2,15,163,66,94,3,0
Yorktown,2015,"2,144",11,0,2,,1,8,29,14,14,1,0
