Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy
"Friendswood, TX",April 2013,All Residential,Place/City,False,TX,0.970959087,0.0%,1.3%,74,48.0%,25.4%,228,-8.8%,-23.5%,54,9,-50,$194K,1.3%,22.5%,100,-8.3%,-4.8%
"La Porte, TX",April 2013,All Residential,Place/City,False,TX,0.969583334,2.1%,0.7%,41,28.1%,36.7%,133,11.8%,-25.7%,45,-15,-11,$118K,4.7%,8.9%,71,57.8%,36.5%
"La Porte, TX",May 2013,All Residential,Place/City,False,TX,0.969947751,0.0%,-1.9%,48,17.1%,84.6%,145,9.0%,-17.1%,34,-11,-5,$120K,1.8%,11.1%,61,-14.1%,22.0%
"Pasadena, TX",May 2013,All Residential,Place/City,False,TX,0.971638879,-0.6%,-0.4%,86,14.7%,16.2%,297,-2.3%,-21.2%,61,19,-25,$128K,11.6%,12.0%,131,18.0%,32.3%
"Pasadena, TX",August 2013,All Residential,Place/City,False,TX,0.972510216,-1.2%,1.6%,96,5.5%,20.0%,285,0.0%,-22.3%,54,14,-2,$108K,-10.4%,6.9%,108,-0.9%,12.5%
"Baytown, TX",August 2013,All Residential,Place/City,False,TX,0.965808003,-1.8%,-0.2%,92,22.7%,4.5%,363,4.9%,-15.8%,51,-6,-19,$136K,4.2%,17.9%,109,5.8%,9.0%
"Baytown, TX",November 2013,All Residential,Place/City,False,TX,0.966346954,0.0%,-0.1%,56,-21.1%,-15.2%,335,-8.5%,-14.1%,42,-29,-37,$135K,3.9%,3.4%,50,-54.5%,-34.2%
"Galveston, TX",December 2013,All Residential,Place/City,False,TX,0.946626641,2.6%,0.9%,62,17.0%,-11.4%,553,-1.6%,5.1%,85,-2,-12,$195K,21.9%,22.6%,77,-7.2%,-4.9%
"Friendswood, TX",March 2014,All Residential,Place/City,False,TX,0.982335832,1.0%,1.2%,53,-8.6%,6.0%,163,5.2%,-34.8%,32,-8,-13,$180K,2.1%,-5.8%,86,13.2%,-21.1%
"Houston, TX",April 2014,All Residential,Place/City,False,TX,0.982586879,0.2%,0.6%,2624,3.5%,-6.8%,5707,0.2%,-16.4%,23,-3,-4,$185K,3.6%,2.8%,3678,12.3%,-0.1%
"La Porte, TX",January 2015,All Residential,Place/City,False,TX,0.962400769,-1.5%,-0.5%,22,-38.9%,0.0%,60,-22.1%,-53.8%,27,-20,-42,$118K,-18.5%,14.7%,24,-7.7%,-51.0%
"Texas City, TX",April 2015,All Residential,Place/City,False,TX,0.970008563,-0.2%,1.0%,42,-2.3%,2.4%,137,9.6%,-9.3%,35,-8,-41,$95K,-17.2%,3.0%,65,32.7%,41.3%
"Pasadena, TX",July 2015,All Residential,Place/City,False,TX,0.982389990,-0.7%,-0.1%,100,12.4%,5.3%,198,7.6%,-19.5%,16,0,-4,$139K,1.1%,11.2%,143,18.2%,11.7%
"Texas City, TX",July 2015,All Residential,Place/City,False,TX,0.950457903,0.5%,1.8%,57,58.3%,42.5%,142,-2.1%,-17.4%,54,29,5,$121K,-4.3%,74.1%,57,-3.4%,-18.6%
"La Porte, TX",April 2016,All Residential,Place/City,False,TX,0.965060898,-2.8%,-1.0%,41,36.7%,28.1%,69,3.0%,27.8%,19,11,11,$145K,-6.5%,9.8%,54,17.4%,38.5%
"Missouri City, TX",May 2016,All Residential,Place/City,False,TX,0.973419144,-0.4%,-1.0%,132,-3.6%,-8.3%,429,4.9%,35.8%,33,7,13,$253K,-2.9%,3.2%,201,16.2%,-7.8%
"Friendswood, TX",September 2016,All Residential,Place/City,False,TX,0.971122164,-0.9%,-1.4%,73,-18.0%,9.0%,187,-3.6%,21.4%,23,9,10,$240K,0.8%,25.0%,67,-21.2%,-25.6%
"La Porte, TX",November 2016,All Residential,Place/City,False,TX,0.986139380,-0.3%,0.0%,35,-16.7%,2.9%,65,3.2%,-27.8%,30,13,0,$161K,0.6%,11.0%,38,-5.0%,-2.6%
"Friendswood, TX",December 2016,All Residential,Place/City,False,TX,0.971174515,0.7%,0.1%,61,-9.0%,19.6%,158,-7.6%,17.9%,21,-36,-10,$241K,-24.7%,11.2%,52,-13.3%,4.0%
"La Porte, TX",February 2017,All Residential,Place/City,False,TX,0.973753342,1.7%,2.1%,31,-26.2%,-13.9%,65,16.1%,1.6%,46,17,5,$160K,-6.5%,11.6%,47,23.7%,23.7%
"Friendswood, TX",March 2017,All Residential,Place/City,False,TX,0.977889804,0.7%,0.0%,76,38.2%,2.7%,156,9.9%,2.0%,16,-20,-10,$237K,-18.6%,-0.1%,93,47.6%,6.9%
"Sugar Land, TX",May 2017,All Residential,Place/City,False,TX,0.973164912,-0.1%,0.5%,238,35.2%,27.3%,745,9.6%,19.8%,24,-6,-8,$326K,1.6%,-3.1%,340,4.9%,20.6%
"Pasadena, TX",July 2017,All Residential,Place/City,False,TX,0.983339066,1.4%,0.1%,102,0.0%,8.5%,178,9.9%,3.5%,16,2,2,$162K,7.1%,0.0%,107,-21.3%,-14.4%
"Galveston, TX",July 2017,All Residential,Place/City,False,TX,0.953795540,0.9%,0.2%,114,-23.0%,-14.3%,632,-1.9%,-3.1%,57,3,2,$175K,-13.8%,9.1%,188,15.3%,13.3%
"League City, TX",January 2018,All Residential,Place/City,False,TX,0.979748537,0.1%,0.5%,103,-39.1%,-2.8%,331,-4.3%,-9.6%,32,-17,-18,$265K,2.0%,3.9%,168,84.6%,3.7%
"Friendswood, TX",February 2018,All Residential,Place/City,False,TX,0.972588082,1.3%,0.1%,70,52.2%,27.3%,151,-7.4%,6.3%,50,32,14,$214K,-5.5%,-26.6%,76,-15.6%,20.6%
"La Porte, TX",May 2018,All Residential,Place/City,False,TX,0.988509668,-0.8%,0.8%,37,5.7%,19.4%,62,10.7%,-17.3%,7,0,-9,$173K,0.3%,-4.2%,56,12.0%,-9.7%
"La Porte, TX",August 2018,All Residential,Place/City,False,TX,0.983967908,0.0%,1.4%,41,-21.2%,13.9%,76,-6.2%,-7.3%,13,-10,0,$180K,-0.6%,0.5%,50,-13.8%,51.5%
"Texas City, TX",August 2018,All Residential,Place/City,False,TX,0.977089751,-0.6%,1.1%,76,-10.6%,111.1%,230,1.8%,16.2%,35,7,-2,$177K,-3.4%,4.6%,87,1.2%,42.6%
"La Porte, TX",October 2018,All Residential,Place/City,False,TX,0.972604125,1.2%,0.7%,42,0.0%,23.5%,82,18.8%,2.5%,20,-8,-32,$183K,7.4%,8.3%,50,56.3%,25.0%
"Missouri City, TX",November 2018,All Residential,Place/City,False,TX,0.973367927,-0.3%,0.8%,121,-12.9%,1.7%,600,-1.6%,15.8%,44,8,-14,$230K,-0.2%,-4.4%,151,-17.5%,12.7%
"Missouri City, TX",February 2019,All Residential,Place/City,False,TX,0.966963185,-0.5%,-0.5%,114,26.7%,12.9%,547,-4.4%,24.3%,72,20,24,$230K,-1.5%,-1.3%,164,2.5%,0.6%
"La Porte, TX",January 2012,All Residential,Place/City,False,TX,0.946255387,0.0%,7.6%,27,8.0%,107.7%,159,1.3%,-25.4%,56,-32,-13,$110K,14.0%,43.5%,48,84.6%,17.1%
"Missouri City, TX",January 2012,All Residential,Place/City,False,TX,0.949899108,-0.2%,-0.6%,76,-25.5%,8.6%,506,1.4%,-26.7%,107,11,24,$172K,7.3%,21.1%,136,60.0%,4.6%
"La Porte, TX",February 2012,All Residential,Place/City,False,TX,0.959459833,1.3%,5.3%,12,-55.6%,-7.7%,159,0.0%,-22.4%,127,71,-54,$73K,-33.8%,-14.4%,42,-12.5%,61.5%
"Friendswood, TX",March 2012,All Residential,Place/City,False,TX,0.946719047,0.1%,-2.9%,60,66.7%,130.8%,291,0.3%,11.1%,98,-17,6,$191K,-15.6%,33.9%,98,27.3%,44.1%
"Pasadena, TX",March 2012,All Residential,Place/City,False,TX,0.976372404,1.3%,3.8%,71,39.2%,12.7%,385,1.9%,-19.5%,115,28,22,$107K,15.4%,6.8%,131,42.4%,13.9%
"La Porte, TX",May 2012,All Residential,Place/City,False,TX,0.989251515,2.7%,1.3%,26,-13.3%,4.0%,175,-2.2%,-14.2%,39,-17,-93,$108K,-0.2%,-5.3%,50,-3.8%,4.2%
"Baytown, TX",September 2012,All Residential,Place/City,False,TX,0.953967998,-1.4%,-0.3%,87,-1.1%,11.5%,410,-4.9%,-12.0%,64,-6,-22,$122K,6.1%,17.2%,100,0.0%,28.2%
"Baytown, TX",November 2012,All Residential,Place/City,False,TX,0.967588345,0.4%,-0.6%,66,-25.0%,-1.5%,390,-5.1%,-8.0%,79,-9,6,$131K,9.7%,30.5%,76,-27.6%,-2.6%
"Pasadena, TX",November 2012,All Residential,Place/City,False,TX,0.980680154,2.8%,4.9%,53,-30.3%,0.0%,334,-3.2%,-26.4%,67,0,3,$108K,6.4%,2.9%,67,-27.2%,-20.2%
"La Porte, TX",December 2012,All Residential,Place/City,False,TX,0.956839980,-3.1%,1.1%,38,58.3%,52.0%,124,-0.8%,-21.0%,88,54,0,$112K,-5.2%,15.9%,30,7.1%,15.4%
"Pasadena, TX",January 2013,All Residential,Place/City,False,TX,0.945116994,-2.5%,-3.2%,69,25.5%,46.8%,315,1.3%,-19.0%,87,31,6,$103K,20.6%,14.0%,107,94.5%,27.4%
"La Porte, TX",January 2013,All Residential,Place/City,False,TX,0.957925261,0.1%,1.2%,23,-39.5%,-14.8%,119,-4.0%,-25.2%,60,-28,4,$122K,9.1%,10.9%,35,16.7%,-27.1%
"Pasadena, TX",February 2013,All Residential,Place/City,False,TX,0.943281942,-0.2%,-2.0%,79,14.5%,54.9%,293,-7.0%,-22.5%,116,29,29,$93K,-9.8%,0.0%,87,-18.7%,-5.4%
"La Porte, TX",March 2013,All Residential,Place/City,False,TX,0.948449938,-2.0%,-2.2%,32,45.5%,0.0%,119,0.0%,-26.5%,60,-21,-38,$113K,6.3%,6.2%,45,9.8%,-8.2%
"Texas City, TX",May 2013,All Residential,Place/City,False,TX,0.972041631,4.5%,2.2%,46,48.4%,53.3%,213,7.6%,-2.3%,73,-10,12,$101K,32.4%,19.2%,67,15.5%,55.8%
"Sugar Land, TX",June 2013,All Residential,Place/City,False,TX,0.978401616,1.0%,1.3%,275,-1.8%,20.6%,397,7.3%,-37.4%,14,-8,-31,$273K,-14.4%,14.7%,300,-7.1%,5.3%
"League City, TX",July 2013,All Residential,Place/City,False,TX,0.975295648,-0.3%,0.5%,241,30.3%,41.8%,499,6.2%,-17.5%,29,-3,-22,$197K,-1.5%,5.0%,244,10.9%,27.1%
"Pasadena, TX",February 2014,All Residential,Place/City,False,TX,0.966268406,1.1%,2.3%,62,3.3%,-21.5%,260,0.8%,-11.3%,46,-27,-70,$119K,3.9%,28.1%,88,-4.3%,1.1%
"Baytown, TX",April 2014,All Residential,Place/City,False,TX,0.966985374,-0.9%,0.5%,101,26.3%,50.7%,261,-3.0%,-21.4%,53,1,-88,$139K,22.4%,19.9%,127,7.6%,21.0%
"Missouri City, TX",May 2014,All Residential,Place/City,False,TX,0.975927233,-0.1%,0.4%,162,2.5%,-7.4%,349,4.8%,-22.4%,32,1,-9,$236K,6.6%,17.3%,216,20.0%,-11.8%
"La Porte, TX",June 2014,All Residential,Place/City,False,TX,0.976487299,-0.3%,-0.2%,45,-6.3%,28.6%,106,21.8%,-22.6%,18,-31,-21,$143K,13.5%,14.5%,61,7.0%,29.8%
"Sugar Land, TX",November 2014,All Residential,Place/City,False,TX,0.976100387,-0.2%,1.0%,139,-14.7%,-10.9%,320,-6.2%,-7.5%,28,-4,0,$330K,3.1%,16.3%,171,-3.9%,8.9%
"League City, TX",March 2015,All Residential,Place/City,False,TX,0.977424470,-0.1%,-0.3%,180,31.4%,7.1%,340,-7.6%,-12.4%,26,-22,-2,$234K,2.4%,17.5%,194,6.0%,6.6%
"Texas City, TX",March 2015,All Residential,Place/City,False,TX,0.972397367,2.3%,2.5%,43,26.5%,16.2%,125,-2.3%,-22.8%,43,-28,-88,$115K,7.5%,32.2%,49,-3.9%,-5.8%
"Pasadena, TX",April 2015,All Residential,Place/City,False,TX,0.983121846,1.2%,0.2%,101,18.8%,-1.9%,164,5.1%,-19.6%,16,-19,-18,$130K,13.0%,8.3%,121,10.0%,34.4%
"Houston, TX",August 2015,All Residential,Place/City,False,TX,0.978572241,0.1%,-0.5%,2735,-11.0%,-3.8%,8533,2.5%,26.5%,25,4,6,$196K,-2.4%,5.4%,3536,-15.2%,2.8%
"Pasadena, TX",September 2015,All Residential,Place/City,False,TX,0.987174755,-0.4%,2.1%,90,-9.1%,11.1%,203,8.0%,-2.4%,17,-1,-5,$148K,-6.6%,22.9%,106,17.8%,24.7%
"Sugar Land, TX",September 2015,All Residential,Place/City,False,TX,0.971886613,-0.8%,-1.2%,186,-25.9%,-18.1%,553,-1.1%,56.2%,35,11,18,$333K,3.2%,13.0%,211,-4.5%,29.4%
"Texas City, TX",December 2015,All Residential,Place/City,False,TX,0.972959952,3.6%,2.3%,40,5.3%,0.0%,100,-13.0%,-27.5%,44,-15,-7,$113K,7.0%,12.9%,30,-31.8%,-11.8%
"Houston, TX",March 2016,All Residential,Place/City,False,TX,0.970217804,0.1%,-0.7%,2441,30.4%,2.0%,8953,4.2%,29.4%,34,-15,11,$202K,10.4%,4.4%,3943,12.0%,13.9%
"Baytown, TX",June 2016,All Residential,Place/City,False,TX,0.978605243,-0.2%,-0.1%,110,-2.7%,-3.5%,287,10.0%,22.1%,27,-6,10,$172K,1.2%,10.6%,161,34.2%,24.8%
"La Porte, TX",July 2016,All Residential,Place/City,False,TX,0.978858546,-2.4%,-2.2%,48,20.0%,17.1%,71,12.7%,-14.5%,21,9,8,$165K,6.3%,3.0%,70,59.1%,18.6%
"La Porte, TX",August 2016,All Residential,Place/City,False,TX,0.972887873,-0.6%,-1.7%,56,16.7%,47.4%,69,-2.8%,-18.8%,19,-2,-10,$161K,-2.3%,22.8%,52,-25.7%,-3.7%
"Baytown, TX",September 2016,All Residential,Place/City,False,TX,0.975223054,-1.3%,-0.4%,112,-15.2%,13.1%,276,4.5%,-7.4%,30,2,11,$175K,2.3%,18.6%,121,-6.9%,14.2%
"Texas City, TX",September 2016,All Residential,Place/City,False,TX,0.938611327,-1.8%,-2.9%,38,-39.7%,-13.6%,102,14.6%,-19.0%,26,0,-18,$114K,-10.3%,-6.9%,63,12.5%,46.5%
"Houston, TX",November 2016,All Residential,Place/City,False,TX,0.969458884,-0.1%,-0.2%,2291,-1.8%,26.9%,8811,-5.2%,4.4%,39,-1,5,$206K,0.6%,14.5%,2512,-18.7%,-2.4%
"Friendswood, TX",February 2017,All Residential,Place/City,False,TX,0.971353137,-0.1%,0.2%,55,71.9%,5.8%,142,-16.5%,4.4%,36,3,-8,$292K,31.6%,14.3%,63,-16.0%,-16.0%
"Texas City, TX",February 2017,All Residential,Place/City,False,TX,0.947131218,-3.1%,-0.2%,30,3.4%,-28.6%,140,5.3%,59.1%,20,-9,-19,$116K,-16.5%,-3.2%,45,-26.2%,18.4%
"La Porte, TX",April 2017,All Residential,Place/City,False,TX,0.975764416,1.3%,1.1%,36,-12.2%,-12.2%,61,8.9%,-11.6%,21,-4,2,$165K,-1.9%,13.6%,41,-10.9%,-24.1%
"Friendswood, TX",December 2017,All Residential,Place/City,False,TX,0.974008305,0.3%,0.3%,59,-15.7%,-3.3%,162,-9.5%,2.5%,38,-20,17,$256K,4.5%,6.3%,49,-30.0%,-5.8%
"Texas City, TX",December 2017,All Residential,Place/City,False,TX,0.969599362,0.6%,-1.7%,65,25.0%,62.5%,179,-4.3%,58.4%,51,6,33,$180K,17.6%,20.9%,57,7.5%,62.9%
"Houston, TX",January 2018,All Residential,Place/City,False,TX,0.964116427,-0.1%,0.0%,1797,-32.8%,3.3%,8195,-0.4%,0.2%,48,4,-1,$194K,-10.5%,3.8%,3078,44.7%,-6.8%
"Sugar Land, TX",January 2018,All Residential,Place/City,False,TX,0.960072250,-0.4%,-0.5%,96,-38.1%,-13.5%,592,-6.8%,19.6%,81,8,16,$284K,-0.4%,-8.4%,179,61.3%,2.9%
"Texas City, TX",April 2012,All Residential,Place/City,False,TX,0.929774838,-5.4%,24.4%,24,-14.3%,2300.0%,229,6.5%,34.7%,70,3,-186,$69K,-9.2%,90.7%,59,15.7%,73.5%
"Friendswood, TX",July 2012,All Residential,Place/City,False,TX,0.959821186,-0.9%,0.3%,78,-3.7%,254.5%,279,-2.4%,-14.7%,45,-12,-11,$188K,-8.5%,28.7%,89,3.5%,17.1%
"Texas City, TX",August 2012,All Residential,Place/City,False,TX,0.946824519,-0.1%,,40,29.0%,,229,1.3%,,73,-15,,$73K,-19.1%,,55,7.8%,
"Texas City, TX",September 2012,All Residential,Place/City,False,TX,0.916830587,-3.0%,,27,-32.5%,,230,0.4%,,90,17,,$75K,2.2%,,55,0.0%,
"Pasadena, TX",December 2012,All Residential,Place/City,False,TX,0.969953817,-1.1%,0.4%,55,3.8%,0.0%,311,-6.9%,-24.3%,56,-11,-43,$85K,-21.3%,-22.0%,55,-17.9%,10.0%
"Sugar Land, TX",March 2013,All Residential,Place/City,False,TX,0.959235552,0.3%,0.3%,172,28.4%,32.3%,368,-5.4%,-40.0%,29,-34,-37,$258K,12.3%,0.6%,232,27.5%,-18.0%
"Pasadena, TX",March 2013,All Residential,Place/City,False,TX,0.973365225,3.0%,-0.3%,59,-25.3%,-16.9%,297,1.4%,-22.9%,52,-64,-63,$102K,10.3%,-4.5%,97,11.5%,-26.0%
"Missouri City, TX",July 2013,All Residential,Place/City,False,TX,0.976973136,-0.6%,0.5%,172,-7.0%,26.5%,422,-3.7%,-24.2%,34,3,-24,$201K,-8.1%,0.7%,214,13.8%,26.6%
"Houston, TX",August 2013,All Residential,Place/City,False,TX,0.981668208,0.0%,1.2%,3004,-2.6%,9.1%,7197,0.2%,-23.2%,23,1,-23,$179K,-0.4%,17.4%,3419,-8.2%,15.3%
"La Porte, TX",August 2013,All Residential,Place/City,False,TX,0.969611733,0.6%,1.2%,34,-33.3%,-22.7%,152,0.0%,-9.0%,33,2,-51,$127K,8.9%,28.2%,49,-16.9%,36.1%
"League City, TX",September 2013,All Residential,Place/City,False,TX,0.977741646,-0.5%,0.3%,156,-19.6%,14.7%,497,1.0%,-8.6%,42,12,-27,$192K,0.3%,3.8%,184,-8.5%,33.3%
"Texas City, TX",January 2014,All Residential,Place/City,False,TX,0.932477899,-0.4%,0.7%,22,-35.3%,-15.4%,177,-2.7%,-14.9%,100,9,-23,$82K,-29.9%,-0.7%,45,80.0%,-8.2%
"La Porte, TX",April 2014,All Residential,Place/City,False,TX,0.978714614,2.8%,0.9%,49,40.0%,19.5%,90,-10.0%,-32.3%,54,-23,9,$130K,13.0%,10.3%,49,11.4%,-31.0%
"Baytown, TX",June 2014,All Residential,Place/City,False,TX,0.986079055,0.1%,0.9%,98,-10.1%,22.5%,277,8.6%,-23.9%,34,-7,-43,$142K,4.8%,15.2%,128,13.3%,16.4%
"Sugar Land, TX",July 2014,All Residential,Place/City,False,TX,0.984249309,-0.6%,0.4%,214,-16.7%,-23.3%,419,7.4%,4.5%,13,2,-1,$320K,-1.7%,13.7%,274,-5.2%,-9.6%
"Texas City, TX",August 2014,All Residential,Place/City,False,TX,0.952882230,2.0%,-1.4%,44,10.0%,51.7%,173,0.6%,-17.2%,59,10,-20,$99K,42.8%,22.5%,59,-15.7%,20.4%
"La Porte, TX",October 2014,All Residential,Place/City,False,TX,0.969183686,0.2%,-0.1%,55,41.0%,103.7%,95,-10.4%,-38.3%,30,4,-16,$131K,4.8%,-6.1%,35,-14.6%,-22.2%
"Pasadena, TX",November 2014,All Residential,Place/City,False,TX,0.979791856,0.1%,0.6%,54,-43.2%,-6.9%,182,-9.5%,-39.7%,25,-7,-31,$125K,8.7%,15.4%,65,-32.3%,-14.5%
"Pasadena, TX",February 2015,All Residential,Place/City,False,TX,0.973408506,-0.9%,0.7%,71,77.5%,14.5%,162,-11.0%,-37.7%,36,-2,-10,$105K,-19.2%,-11.4%,93,9.4%,5.7%
"La Porte, TX",April 2015,All Residential,Place/City,False,TX,0.975038235,-0.2%,-0.4%,32,-11.1%,-34.7%,54,-14.3%,-40.0%,8,-26,-46,$132K,-11.9%,1.5%,39,-23.5%,-20.4%
"Pasadena, TX",May 2015,All Residential,Place/City,False,TX,0.973778601,-0.9%,0.0%,95,-5.9%,4.4%,167,1.8%,-23.4%,20,4,-36,$138K,6.2%,11.3%,100,-17.4%,-13.8%
"La Porte, TX",July 2015,All Residential,Place/City,False,TX,1.001291135,2.4%,1.7%,41,13.9%,-4.7%,83,18.6%,-23.9%,13,-2,0,$160K,1.4%,15.2%,59,47.5%,-9.2%
"Sugar Land, TX",August 2015,All Residential,Place/City,False,TX,0.979465298,0.2%,-0.2%,251,5.0%,4.6%,559,-8.4%,40.8%,24,6,7,$323K,2.5%,5.9%,221,-34.2%,-4.3%
"La Porte, TX",September 2015,All Residential,Place/City,False,TX,0.978278404,-1.2%,1.1%,50,31.6%,28.2%,91,7.1%,-14.2%,11,-18,-15,$155K,18.2%,24.0%,48,-11.1%,17.1%
"Friendswood, TX",September 2015,All Residential,Place/City,False,TX,0.985160995,0.0%,1.6%,67,-2.9%,21.8%,154,3.4%,2.7%,13,2,-13,$192K,-19.7%,8.5%,90,16.9%,57.9%
"Galveston, TX",December 2015,All Residential,Place/City,False,TX,0.948810232,-0.6%,0.3%,80,-1.2%,0.0%,488,-10.1%,-4.3%,66,10,-62,$173K,-1.0%,4.1%,83,-22.4%,33.9%
"Friendswood, TX",February 2016,All Residential,Place/City,False,TX,0.969702445,-0.7%,0.2%,52,20.9%,18.2%,136,0.7%,37.4%,44,8,-1,$255K,-5.2%,3.6%,75,7.1%,23.0%
"Friendswood, TX",March 2016,All Residential,Place/City,False,TX,0.978342935,0.9%,0.4%,74,42.3%,23.3%,153,12.5%,57.7%,26,-18,11,$238K,-6.9%,13.8%,87,16.0%,22.5%
"Sugar Land, TX",May 2016,All Residential,Place/City,False,TX,0.967777513,-0.3%,-1.3%,187,5.6%,-4.6%,622,5.1%,28.5%,32,-2,16,$336K,6.3%,3.5%,282,8.0%,-8.7%
"Pasadena, TX",February 2017,All Residential,Place/City,False,TX,0.972207559,0.5%,0.0%,67,28.8%,1.5%,154,-6.1%,-12.0%,27,-23,-20,$155K,14.8%,19.7%,95,13.1%,5.6%
"Galveston, TX",March 2017,All Residential,Place/City,False,TX,0.952389432,0.1%,0.8%,118,45.7%,5.4%,640,3.6%,8.5%,48,-49,-11,$222K,3.4%,26.1%,204,20.7%,-9.3%
"Friendswood, TX",April 2017,All Residential,Place/City,False,TX,0.979298381,0.1%,-0.2%,66,-13.2%,-10.8%,182,16.7%,9.6%,26,10,2,$251K,5.8%,-25.0%,99,6.5%,3.1%
"La Porte, TX",May 2017,All Residential,Place/City,False,TX,0.980772300,0.5%,-1.1%,31,-13.9%,-20.5%,75,23.0%,10.3%,16,-5,0,$180K,9.3%,8.5%,62,51.2%,29.2%
"Houston, TX",May 2017,All Residential,Place/City,False,TX,0.975126093,0.2%,0.2%,3140,19.3%,12.8%,10069,6.0%,8.7%,25,-5,-3,$212K,-0.9%,-0.7%,4400,7.9%,15.8%
"Baytown, TX",June 2017,All Residential,Place/City,False,TX,0.980676884,0.0%,0.2%,106,11.6%,-3.6%,261,8.7%,-9.1%,22,-3,-5,$182K,0.0%,5.8%,151,18.9%,-6.2%
"Sugar Land, TX",June 2017,All Residential,Place/City,False,TX,0.966339812,-0.7%,-1.4%,235,-1.3%,15.8%,820,10.1%,18.7%,26,2,-2,$345K,5.9%,12.0%,332,-2.4%,5.7%
"Texas City, TX",March 2018,All Residential,Place/City,False,TX,0.960021720,-0.6%,-1.7%,55,25.0%,31.0%,186,9.4%,56.3%,28,-21,-5,$153K,3.3%,1.9%,83,66.0%,20.3%
"League City, TX",July 2018,All Residential,Place/City,False,TX,0.985404512,-0.1%,-0.1%,189,-4.5%,-2.1%,562,10.0%,14.9%,19,1,2,$272K,1.8%,2.8%,269,-1.1%,-1.8%
"Missouri City, TX",August 2018,All Residential,Place/City,False,TX,0.974094768,-0.6%,-0.4%,177,12.7%,84.4%,624,4.3%,1.8%,36,0,9,$239K,-7.5%,1.0%,199,-9.5%,33.6%
"Baytown, TX",October 2018,All Residential,Place/City,False,TX,0.965631574,-1.2%,-0.9%,94,-2.1%,-24.2%,308,-5.5%,21.3%,38,5,3,$185K,1.7%,9.3%,115,-2.5%,-13.5%
"Sugar Land, TX",October 2018,All Residential,Place/City,False,TX,0.966670821,0.2%,-0.2%,158,16.2%,3.9%,762,-1.0%,0.9%,51,-8,6,$308K,1.0%,-0.6%,193,-4.9%,-4.5%
